515,"select P.objid,P.ra,P.dec,P.petroMag_r,P.petroMagErr_r,P.deVRad_r,P.petroRad_r,P.deVPhi_r,P.deVAB_r,P.rowc_r,P.colc_r,P.run,P.rerun,P.camcol,P.field from PhotoObjAll P where P.objid = #"
2019-11-08 21:34:00,8
2019-11-08 21:35:00,33
2019-11-08 21:36:00,35
2019-11-08 21:37:00,33
2019-11-08 21:38:00,34
2019-11-08 21:39:00,33
2019-11-08 21:40:00,35
2019-11-08 21:41:00,33
2019-11-08 21:42:00,34
2019-11-08 21:43:00,33
2019-11-08 21:44:00,35
2019-11-08 21:45:00,33
2019-11-08 21:46:00,34
2019-11-08 21:47:00,33
2019-11-08 21:48:00,41
2019-11-08 21:49:00,28
