3,"select p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z from photoobj p where (p.g BETWEEN # AND #)"
2019-11-08 07:57:00,1
2019-11-08 07:59:00,1
2019-11-08 08:04:00,1
