262,"SELECT g.source_id, g.ra, g.dec     FROM GaiaDR2.gaia_source as g     WHERE         g.ra > # AND         g.ra < # AND         g.dec > # AND         g.dec < #     ORDER BY g.ra"
2019-11-08 12:16:00,3
2019-11-08 12:17:00,4
2019-11-08 12:18:00,5
2019-11-08 12:19:00,6
2019-11-08 12:20:00,8
2019-11-08 12:21:00,11
2019-11-08 12:22:00,23
2019-11-08 12:23:00,19
2019-11-08 12:24:00,9
2019-11-08 12:30:00,29
2019-11-08 12:33:00,20
2019-11-08 12:34:00,9
2019-11-08 12:44:00,16
2019-11-08 12:45:00,13
2019-11-08 13:25:00,29
2019-11-08 13:27:00,29
2019-11-08 13:32:00,29
