14,"SELECT TOP # fld.run, fld.avg_sky_muJy, fld.runarea AS area, ISNULL(fp.nfirstmatch,#)  FROM (   SELECT run, sum(primaryArea) AS runarea,  #e6*avg(power(cast(#. as float),#*sky_r)) as avg_sky_muJy  FROM Field  GROUP BY run  ) AS fld  LEFT OUTER JOIN (   SELECT p.run, count(*) AS nfirstmatch  FROM FIRST AS fm  INNER JOIN photoprimary as p  ON p.objid=fm.objid  GROUP BY p.run  ) AS fp  ON fld.run=fp.run  ORDER BY fld.run"
2019-11-08 06:57:00,1
2019-11-08 17:16:00,1
2019-11-08 17:21:00,1
2019-11-08 17:30:00,1
2019-11-08 17:47:00,1
2019-11-08 18:45:00,1
2019-11-08 18:48:00,1
2019-11-08 18:50:00,1
2019-11-08 20:11:00,1
2019-11-08 20:13:00,1
2019-11-08 20:16:00,1
2019-11-08 20:21:00,1
2019-11-08 20:30:00,1
2019-11-08 20:47:00,1
