50,"SELECT TOP # p.objid,  p.run, p.rerun, p.camcol, p.field, p.obj,  p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,  p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z  FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p  WHERE n.objID=p.objID AND p.u between # AND # AND p.g between # AND # AND p.i between # AND # AND p.r between # AND # AND p.z between # AND #"
2019-11-08 14:36:00,1
2019-11-08 14:44:00,1
2019-11-08 14:46:00,1
2019-11-08 14:53:00,1
2019-11-08 15:01:00,1
2019-11-08 15:05:00,1
2019-11-08 15:08:00,1
2019-11-08 15:10:00,1
2019-11-08 15:20:00,1
2019-11-08 16:09:00,1
2019-11-08 17:35:00,1
2019-11-08 18:55:00,1
2019-11-08 18:56:00,3
2019-11-08 18:57:00,3
2019-11-08 18:58:00,3
2019-11-08 18:59:00,5
2019-11-08 19:00:00,3
2019-11-08 19:01:00,1
2019-11-08 19:02:00,2
2019-11-08 19:03:00,1
2019-11-08 19:05:00,2
2019-11-08 19:06:00,1
2019-11-08 19:07:00,1
2019-11-08 19:08:00,1
2019-11-08 19:09:00,1
2019-11-08 19:10:00,3
2019-11-08 19:11:00,1
2019-11-08 19:12:00,1
2019-11-08 19:13:00,1
2019-11-08 19:15:00,1
2019-11-08 19:23:00,1
2019-11-08 19:33:00,1
2019-11-08 19:35:00,1
2019-11-08 19:39:00,1
