83,"SELECT p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, psfFlux_u, psfFlux_g, psfFlux_r, psfFlux_i, psfFlux_z, psfFluxIvar_u, psfFluxIvar_g, psfFluxIvar_r, psfFluxIvar_i, psfFluxIvar_z FROM PhotoObj p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-11-08 12:56:00,10
2019-11-08 12:58:00,10
2019-11-08 13:00:00,10
2019-11-08 13:02:00,10
2019-11-08 13:04:00,10
2019-11-08 13:06:00,10
2019-11-08 13:07:00,3
2019-11-08 13:10:00,9
2019-11-08 13:11:00,1
2019-11-08 13:12:00,5
2019-11-08 13:13:00,5
