16,"SELECT DISTINCT TOP # p.run, p.rerun, p.camcol, max(p.field) as &&&, max(p.ra) as &&&, max(p.dec) as &&& FROM PhotoObj p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) GROUP BY p.run, p.rerun, p.camcol"
2019-11-08 12:49:00,1
2019-11-08 12:54:00,3
2019-11-08 12:57:00,1
2019-11-08 12:58:00,1
2019-11-08 13:00:00,1
2019-11-08 13:02:00,1
2019-11-08 13:04:00,1
2019-11-08 13:05:00,1
2019-11-08 13:06:00,1
2019-11-08 13:07:00,1
2019-11-08 13:11:00,1
2019-11-08 13:12:00,2
2019-11-08 13:13:00,1
