80,"SELECT TOP #  p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z,   p.run, p.rerun, p.camcol, p.field,   s.specobjid, s.class, s.z as redshift,   s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND g BETWEEN # AND #"
2019-11-08 18:25:00,1
2019-11-08 18:39:00,1
2019-11-08 18:49:00,1
2019-11-08 18:54:00,1
2019-11-08 19:15:00,1
2019-11-08 19:16:00,1
2019-11-08 19:17:00,1
2019-11-08 19:20:00,7
2019-11-08 19:22:00,4
2019-11-08 19:23:00,1
2019-11-08 19:24:00,2
2019-11-08 19:25:00,1
2019-11-08 19:26:00,1
2019-11-08 19:27:00,3
2019-11-08 19:29:00,3
2019-11-08 19:30:00,4
2019-11-08 19:31:00,2
2019-11-08 19:32:00,4
2019-11-08 19:33:00,4
2019-11-08 19:34:00,4
2019-11-08 19:35:00,1
2019-11-08 19:37:00,3
2019-11-08 19:39:00,2
2019-11-08 19:40:00,4
2019-11-08 19:41:00,3
2019-11-08 19:43:00,2
2019-11-08 19:44:00,6
2019-11-08 19:45:00,2
2019-11-08 19:46:00,5
2019-11-08 19:49:00,5
