2,"select p.objid as name, p.ra, p.dec from photoobj p where (p.i BETWEEN # AND #) and p.z < # and p.r-p.i > # and p.i-p.z > #"
2019-11-08 07:09:00,1
2019-11-08 07:18:00,1
