33,"select p.ra, p.dec, p.g, p.Err_g from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_g <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-01-22 08:44:00,1
2019-01-22 08:45:00,1
2019-01-22 08:46:00,1
2019-01-22 08:47:00,1
2019-01-22 08:48:00,1
2019-01-22 08:49:00,1
2019-01-22 08:50:00,1
2019-01-22 08:52:00,1
2019-01-22 08:53:00,1
2019-01-22 08:54:00,1
2019-01-22 08:56:00,1
2019-01-22 08:57:00,1
2019-01-22 08:59:00,1
2019-01-22 09:00:00,1
2019-01-22 09:04:00,1
2019-01-22 09:05:00,1
2019-01-22 09:06:00,1
2019-01-22 09:10:00,2
2019-01-22 09:14:00,1
2019-01-22 09:16:00,1
2019-01-22 09:17:00,1
2019-01-22 10:06:00,1
2019-01-22 11:03:00,1
2019-01-22 12:33:00,1
2019-01-22 12:34:00,1
2019-01-22 12:37:00,1
2019-01-22 12:39:00,2
2019-01-22 12:40:00,1
2019-01-22 12:43:00,1
2019-01-22 12:46:00,1
2019-01-22 14:19:00,1
