25,"SELECT TOP # g.l,  g.b,  s.z as redshift, g.u, g.err_u,  g.g,  g.err_g,  g.r,  g.err_r,  g.i,  g.err_i,  g.z,  g.err_z,  g.extinction_g,  g.extinction_r      FROM  Galaxy AS g  JOIN SpecObj as s ON s.specObjID = g.specObjID  WHERE  g.l between # and # and  g.b between # and # and  g.petroR9#_i/g.petroR5#_i > #  and ((flags & #) = #) and s.z between # and #"
2019-01-22 15:51:00,1
2019-01-22 16:07:00,1
2019-01-22 16:08:00,2
2019-01-22 16:09:00,2
2019-01-22 16:13:00,1
2019-01-22 16:14:00,1
2019-01-22 16:16:00,1
2019-01-22 16:21:00,1
2019-01-22 16:26:00,1
2019-01-22 16:27:00,1
2019-01-22 16:29:00,1
2019-01-22 16:30:00,2
2019-01-22 16:32:00,1
2019-01-22 16:34:00,1
2019-01-22 16:36:00,1
2019-01-22 17:02:00,1
2019-01-22 17:05:00,1
2019-01-22 17:10:00,1
2019-01-22 17:12:00,1
2019-01-22 17:13:00,1
2019-01-22 17:21:00,1
2019-01-22 17:49:00,1
