39,SELECT z FROM SpecPhotoAll Where class = &&& and petroMagErr_g < # and petroMag_g between # and # and petroMagErr_r < # and petroMag_r between # and # and petroMagErr_i < # and petroMag_i between # and # and petroMagErr_z < # and petroMag_z between # and # and z>#
2019-01-22 10:37:00,1
2019-01-22 10:38:00,2
2019-01-22 10:39:00,1
2019-01-22 10:40:00,1
2019-01-22 10:44:00,2
2019-01-22 10:45:00,1
2019-01-22 10:46:00,1
2019-01-22 10:48:00,1
2019-01-22 10:52:00,3
2019-01-22 10:53:00,2
2019-01-22 10:56:00,1
2019-01-22 10:57:00,3
2019-01-22 10:58:00,1
2019-01-22 11:00:00,1
2019-01-22 11:01:00,1
2019-01-22 11:05:00,2
2019-01-22 11:09:00,3
2019-01-22 11:12:00,2
2019-01-22 11:13:00,2
2019-01-22 11:14:00,2
2019-01-22 11:15:00,2
2019-01-22 11:16:00,2
2019-01-22 11:21:00,1
2019-01-22 11:22:00,1
