38,"SELECT TOP #  s.plate,s.mjd,s.fiberid  FROM ..SpecObj as s  JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS b ON b.SpecobjID = S.SpecobjID  WHERE s.zWarning = #"
2019-01-22 01:38:00,1
2019-01-22 01:39:00,2
2019-01-22 21:22:00,1
2019-01-22 21:24:00,1
2019-01-22 21:25:00,1
2019-01-22 21:28:00,1
2019-01-22 21:30:00,1
2019-01-22 21:31:00,1
2019-01-22 21:33:00,1
2019-01-22 21:34:00,1
2019-01-22 21:36:00,1
2019-01-22 21:39:00,1
2019-01-22 21:40:00,1
2019-01-22 21:41:00,1
2019-01-22 21:44:00,1
2019-01-22 21:45:00,1
2019-01-22 21:46:00,1
2019-01-22 21:48:00,1
2019-01-22 21:50:00,1
2019-01-22 21:51:00,1
2019-01-22 21:55:00,1
2019-01-22 22:00:00,1
2019-01-22 22:02:00,1
2019-01-22 22:03:00,2
2019-01-22 22:05:00,1
2019-01-22 22:06:00,2
2019-01-22 22:07:00,1
2019-01-22 22:09:00,1
2019-01-22 22:11:00,1
2019-01-22 22:13:00,1
2019-01-22 22:14:00,1
2019-01-22 22:15:00,1
2019-01-22 22:16:00,1
2019-01-22 23:23:00,2
