237,"select ra,dec,l,b, #*LOG1#(psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1#(psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #*LOG1#(psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #*LOG1#(psfFlux_i) + # - extinction_i + # as psfPogCorr_i, #*LOG1#(psfFlux_z) + # - extinction_z + # as psfPogCorr_z, #/SQRT(psfFluxIvar_u)/psfFlux_u as psfPogErr_u, #/SQRT(psfFluxIvar_g)/psfFlux_g as psfPogErr_g, #/SQRT(psfFluxIvar_r)/psfFlux_r as psfPogErr_r, #/SQRT(psfFluxIvar_i)/psfFlux_i as psfPogErr_i, #/SQRT(psfFluxIvar_z)/psfFlux_z as psfPogErr_z from star as s where ra between # and # and dec between # and # and s.clean=# and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfFlux_i > # and psfFlux_z > # and psfMagErr_u < # and psfMagErr_g < # and psfMagErr_r < # and psfMagErr_i < # and psfMagErr_z < #"
2019-01-22 00:02:00,1
2019-01-22 00:03:00,1
2019-01-22 00:04:00,1
2019-01-22 00:05:00,3
2019-01-22 00:07:00,1
2019-01-22 00:09:00,2
2019-01-22 00:10:00,4
2019-01-22 00:11:00,6
2019-01-22 00:12:00,7
2019-01-22 00:13:00,5
2019-01-22 00:14:00,7
2019-01-22 00:15:00,7
2019-01-22 00:16:00,7
2019-01-22 00:17:00,10
2019-01-22 01:49:00,1
2019-01-22 01:50:00,7
2019-01-22 01:51:00,8
2019-01-22 01:52:00,12
2019-01-22 01:53:00,6
2019-01-22 01:54:00,7
2019-01-22 01:55:00,7
2019-01-22 01:56:00,6
2019-01-22 01:57:00,8
2019-01-22 01:58:00,8
2019-01-22 01:59:00,8
2019-01-22 02:00:00,7
2019-01-22 02:01:00,11
2019-01-22 02:02:00,10
2019-01-22 02:03:00,45
2019-01-22 02:04:00,13
2019-01-22 02:05:00,7
2019-01-22 02:06:00,4
