18,"SELECT TOP # fld.run, fld.avg_sky_muJy, fld.runarea AS area, ISNULL(fp.nfirstmatch,#)  FROM (   SELECT run, sum(primaryArea) AS runarea,  #e6*avg(power(cast(#. as float),#*sky_r)) as avg_sky_muJy  FROM Field  GROUP BY run  ) AS fld  LEFT OUTER JOIN (   SELECT p.run, count(*) AS nfirstmatch  FROM FIRST AS fm  INNER JOIN photoprimary as p  ON p.objid=fm.objid  GROUP BY p.run  ) AS fp  ON fld.run=fp.run  ORDER BY fld.run"
2019-01-22 00:49:00,1
2019-01-22 06:20:00,1
2019-01-22 07:14:00,1
2019-01-22 08:16:00,1
2019-01-22 08:18:00,1
2019-01-22 08:21:00,1
2019-01-22 08:26:00,1
2019-01-22 08:35:00,1
2019-01-22 08:52:00,1
2019-01-22 13:11:00,1
2019-01-22 13:13:00,1
2019-01-22 13:16:00,1
2019-01-22 13:21:00,1
2019-01-22 13:30:00,1
2019-01-22 13:47:00,1
2019-01-22 14:07:00,1
2019-01-22 14:27:00,1
2019-01-22 20:47:00,1
