596,"SELECT TOP # g.ra, g.dec, p.z, p.zErr, g.psfMag_u, g.psfMag_g, g.psfMag_r, g.psfMag_i, g.psfMag_z from GalaxyTag as g JOIN Photoz as p ON p.objID = g.objID WHERE g.ra BETWEEN # AND #"
2019-01-22 00:47:00,30
2019-01-22 00:49:00,50
2019-01-22 00:50:00,52
2019-01-22 00:51:00,48
2019-01-22 00:52:00,50
2019-01-22 00:53:00,42
2019-01-22 00:54:00,38
2019-01-22 00:55:00,42
2019-01-22 00:56:00,42
2019-01-22 00:57:00,48
2019-01-22 00:58:00,42
2019-01-22 00:59:00,42
2019-01-22 01:00:00,48
2019-01-22 01:01:00,22
