11,"CREATE TABLE crossapply (ra float, dec float)"
2019-01-22 13:03:00,1
2019-01-22 13:04:00,2
2019-01-22 13:05:00,3
2019-01-22 13:07:00,3
2019-01-22 13:08:00,2
