15,"select c.*     , n1.x as x1,n1.y as y1     , n2.x as x2,n2.y as y2     from cracks_S1# c     ,    nodes_S1# n1     ,    nodes_S1# n2     where c.snapnum=#     and n1.snapnum=c.snapnum     and n1.nodeid=c.node1     and n2.snapnum=c.snapnum     and n2.nodeid=c.node2"
2019-01-22 00:01:00,1
2019-01-22 00:03:00,1
2019-01-22 00:05:00,1
2019-01-22 00:08:00,1
2019-01-22 00:10:00,1
2019-01-22 00:12:00,1
2019-01-22 00:15:00,1
2019-01-22 00:17:00,1
2019-01-22 00:20:00,1
2019-01-22 00:22:00,1
2019-01-22 00:25:00,1
2019-01-22 00:27:00,1
2019-01-22 00:30:00,1
2019-01-22 00:33:00,1
2019-01-22 00:36:00,1
