2103,"SELECT DISTINCT p.ra , p.dec FROM PhotoObjAll p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = # GROUP BY p.ra, p.dec"
2019-01-22 11:20:00,1
2019-01-22 11:22:00,1
2019-01-22 11:23:00,1
2019-01-22 11:24:00,1
2019-01-22 11:26:00,6
2019-01-22 11:27:00,9
2019-01-22 11:28:00,9
2019-01-22 11:29:00,9
2019-01-22 11:30:00,8
2019-01-22 11:31:00,9
2019-01-22 11:32:00,9
2019-01-22 11:33:00,9
2019-01-22 11:34:00,9
2019-01-22 11:35:00,8
2019-01-22 11:36:00,9
2019-01-22 11:37:00,9
2019-01-22 11:38:00,9
2019-01-22 11:39:00,8
2019-01-22 11:40:00,10
2019-01-22 11:41:00,12
2019-01-22 11:42:00,9
2019-01-22 11:43:00,10
2019-01-22 11:44:00,9
2019-01-22 11:45:00,10
2019-01-22 11:46:00,8
2019-01-22 11:47:00,8
2019-01-22 11:48:00,9
2019-01-22 11:49:00,9
2019-01-22 11:50:00,8
2019-01-22 11:51:00,8
2019-01-22 11:52:00,8
2019-01-22 11:53:00,8
2019-01-22 11:54:00,9
2019-01-22 11:55:00,12
2019-01-22 11:56:00,12
2019-01-22 11:57:00,12
2019-01-22 11:58:00,12
2019-01-22 11:59:00,12
2019-01-22 12:00:00,12
2019-01-22 12:01:00,12
2019-01-22 12:02:00,11
2019-01-22 12:03:00,13
2019-01-22 12:04:00,1
2019-01-22 12:11:00,4
2019-01-22 12:12:00,13
2019-01-22 12:13:00,14
2019-01-22 12:14:00,13
2019-01-22 12:15:00,14
2019-01-22 12:16:00,14
2019-01-22 12:17:00,13
2019-01-22 12:18:00,13
2019-01-22 12:19:00,13
2019-01-22 12:20:00,14
2019-01-22 12:21:00,13
2019-01-22 12:22:00,12
2019-01-22 12:23:00,13
2019-01-22 12:24:00,14
2019-01-22 12:25:00,13
2019-01-22 12:26:00,14
2019-01-22 12:27:00,12
2019-01-22 12:28:00,13
2019-01-22 12:29:00,13
2019-01-22 12:30:00,14
2019-01-22 12:31:00,13
2019-01-22 12:32:00,14
2019-01-22 12:33:00,13
2019-01-22 12:34:00,13
2019-01-22 12:35:00,12
2019-01-22 12:36:00,13
2019-01-22 12:37:00,14
2019-01-22 12:38:00,13
2019-01-22 12:39:00,1
2019-01-22 15:57:00,3
2019-01-22 15:58:00,12
2019-01-22 15:59:00,13
2019-01-22 16:00:00,13
2019-01-22 16:01:00,13
2019-01-22 16:02:00,14
2019-01-22 16:03:00,12
2019-01-22 16:04:00,13
2019-01-22 16:05:00,13
2019-01-22 16:06:00,14
2019-01-22 16:07:00,13
2019-01-22 16:08:00,13
2019-01-22 16:09:00,13
2019-01-22 16:10:00,12
2019-01-22 16:11:00,13
2019-01-22 16:12:00,12
2019-01-22 16:13:00,12
2019-01-22 16:14:00,13
2019-01-22 16:15:00,13
2019-01-22 16:16:00,13
2019-01-22 16:17:00,14
2019-01-22 16:18:00,12
2019-01-22 16:19:00,13
2019-01-22 16:20:00,13
2019-01-22 16:21:00,13
2019-01-22 16:22:00,13
2019-01-22 16:23:00,13
2019-01-22 16:24:00,13
2019-01-22 16:25:00,13
2019-01-22 16:26:00,13
2019-01-22 16:27:00,13
2019-01-22 16:28:00,13
2019-01-22 16:29:00,12
2019-01-22 16:30:00,14
2019-01-22 16:31:00,13
2019-01-22 16:32:00,13
2019-01-22 16:33:00,13
2019-01-22 16:34:00,12
2019-01-22 16:35:00,13
2019-01-22 16:36:00,13
2019-01-22 16:37:00,12
2019-01-22 16:38:00,11
2019-01-22 16:39:00,10
2019-01-22 16:42:00,3
2019-01-22 16:43:00,13
2019-01-22 16:44:00,13
2019-01-22 16:45:00,13
2019-01-22 16:46:00,12
2019-01-22 16:47:00,13
2019-01-22 16:48:00,13
2019-01-22 16:49:00,12
2019-01-22 16:50:00,13
2019-01-22 16:51:00,13
2019-01-22 16:52:00,13
2019-01-22 16:53:00,12
2019-01-22 16:54:00,13
2019-01-22 16:55:00,13
2019-01-22 16:56:00,11
2019-01-22 16:57:00,12
2019-01-22 16:58:00,12
2019-01-22 16:59:00,8
2019-01-22 17:00:00,10
2019-01-22 17:01:00,6
2019-01-22 17:02:00,13
2019-01-22 17:03:00,13
2019-01-22 17:04:00,12
2019-01-22 17:05:00,12
2019-01-22 17:06:00,13
2019-01-22 17:07:00,13
2019-01-22 17:08:00,13
2019-01-22 17:09:00,13
2019-01-22 17:10:00,4
2019-01-22 21:36:00,1
2019-01-22 21:40:00,1
2019-01-22 21:44:00,1
2019-01-22 21:45:00,1
2019-01-22 21:47:00,9
2019-01-22 21:48:00,9
2019-01-22 21:49:00,10
2019-01-22 21:50:00,10
2019-01-22 21:51:00,9
2019-01-22 21:52:00,10
2019-01-22 21:53:00,9
2019-01-22 21:54:00,10
2019-01-22 21:55:00,9
2019-01-22 21:56:00,9
2019-01-22 21:57:00,10
2019-01-22 21:58:00,9
2019-01-22 21:59:00,10
2019-01-22 22:00:00,10
2019-01-22 22:01:00,2
2019-01-22 22:02:00,5
2019-01-22 22:03:00,4
2019-01-22 22:04:00,5
2019-01-22 22:05:00,4
2019-01-22 22:06:00,4
2019-01-22 22:07:00,5
2019-01-22 22:08:00,6
2019-01-22 22:09:00,5
2019-01-22 22:10:00,5
2019-01-22 22:11:00,5
2019-01-22 22:12:00,5
2019-01-22 22:13:00,5
2019-01-22 22:14:00,5
2019-01-22 22:15:00,5
2019-01-22 22:16:00,5
2019-01-22 22:17:00,5
2019-01-22 22:18:00,6
2019-01-22 22:19:00,4
2019-01-22 22:20:00,5
