704,select * from Photoz where objid=#
2019-08-19 00:30:00,1
2019-08-19 01:17:00,1
2019-08-19 01:18:00,4
2019-08-19 01:37:00,1
2019-08-19 01:38:00,1
2019-08-19 02:25:00,1
2019-08-19 02:49:00,1
2019-08-19 02:54:00,1
2019-08-19 03:28:00,1
2019-08-19 03:32:00,1
2019-08-19 03:36:00,1
2019-08-19 03:47:00,1
2019-08-19 03:55:00,2
2019-08-19 04:04:00,1
2019-08-19 04:17:00,2
2019-08-19 04:19:00,1
2019-08-19 04:51:00,1
2019-08-19 06:58:00,1
2019-08-19 07:12:00,1
2019-08-19 07:42:00,1
2019-08-19 07:53:00,4
2019-08-19 07:54:00,6
2019-08-19 08:50:00,1
2019-08-19 09:44:00,2
2019-08-19 09:45:00,8
2019-08-19 09:46:00,6
2019-08-19 09:47:00,1
2019-08-19 09:53:00,8
2019-08-19 09:54:00,35
2019-08-19 09:55:00,32
2019-08-19 09:56:00,33
2019-08-19 09:57:00,30
2019-08-19 09:58:00,33
2019-08-19 09:59:00,31
2019-08-19 10:14:00,1
2019-08-19 11:15:00,1
2019-08-19 12:08:00,1
2019-08-19 12:10:00,1
2019-08-19 12:13:00,1
2019-08-19 12:27:00,1
2019-08-19 12:28:00,4
2019-08-19 12:29:00,4
2019-08-19 12:30:00,2
2019-08-19 13:43:00,1
2019-08-19 13:58:00,1
2019-08-19 14:00:00,1
2019-08-19 14:22:00,4
2019-08-19 14:23:00,37
2019-08-19 14:24:00,28
2019-08-19 14:37:00,4
2019-08-19 14:44:00,27
2019-08-19 14:50:00,1
2019-08-19 14:54:00,1
2019-08-19 15:26:00,2
2019-08-19 16:49:00,31
2019-08-19 16:50:00,35
2019-08-19 16:51:00,35
2019-08-19 16:52:00,36
2019-08-19 16:53:00,35
2019-08-19 17:00:00,1
2019-08-19 19:18:00,1
2019-08-19 19:22:00,11
2019-08-19 19:23:00,12
2019-08-19 19:24:00,11
2019-08-19 19:25:00,8
2019-08-19 19:26:00,13
2019-08-19 19:31:00,1
2019-08-19 19:46:00,1
2019-08-19 20:05:00,3
2019-08-19 20:06:00,20
2019-08-19 20:07:00,21
2019-08-19 20:08:00,11
2019-08-19 20:09:00,23
2019-08-19 20:10:00,11
2019-08-19 21:18:00,1
2019-08-19 21:30:00,1
2019-08-19 21:50:00,1
2019-08-19 21:51:00,1
2019-08-19 22:42:00,1
2019-08-19 23:05:00,1
