2,"select p.objid, p.ra, p.dec, s.z as redshift into mydb.MyTable from PhotoObj p, SpecObj s where p.objid=s.bestobjid and (s.class = &&&)"
2019-08-19 05:59:00,1
2019-08-19 06:00:00,1
