3142,"select objid,run,rerun,camcol,field,rowc,colc,petrorad_r,rowc_g,rowc_i,colc_g,colc_i from Galaxy where objid in (#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#) order by objid asc"
2019-08-19 03:03:00,29
2019-08-19 03:04:00,74
2019-08-19 03:05:00,72
2019-08-19 03:06:00,70
2019-08-19 03:07:00,60
2019-08-19 03:08:00,61
2019-08-19 03:09:00,60
2019-08-19 03:10:00,58
2019-08-19 03:11:00,58
2019-08-19 03:12:00,58
2019-08-19 03:13:00,56
2019-08-19 03:14:00,55
2019-08-19 03:15:00,52
2019-08-19 03:16:00,50
2019-08-19 03:17:00,49
2019-08-19 03:18:00,50
2019-08-19 03:19:00,16
2019-08-19 03:40:00,67
2019-08-19 03:41:00,171
2019-08-19 03:42:00,169
2019-08-19 03:43:00,165
2019-08-19 03:44:00,171
2019-08-19 03:45:00,170
2019-08-19 03:46:00,83
2019-08-19 03:47:00,67
2019-08-19 03:48:00,63
2019-08-19 03:49:00,62
2019-08-19 03:50:00,71
2019-08-19 03:51:00,71
2019-08-19 03:52:00,73
2019-08-19 03:53:00,69
2019-08-19 03:54:00,73
2019-08-19 03:55:00,70
2019-08-19 03:56:00,74
2019-08-19 03:57:00,74
2019-08-19 03:58:00,73
2019-08-19 03:59:00,72
2019-08-19 04:00:00,71
2019-08-19 04:01:00,75
2019-08-19 04:02:00,73
2019-08-19 04:03:00,75
2019-08-19 04:04:00,12
