2,"SELECT round(absMagR,#) as absMagR, COUNT(*) as cnt into mydb.MyTable_# from Photoz WHERE         z BETWEEN # and #      and photoErrorClass=# and nnCount>#      and zErr BETWEEN # and # group by round(absMagR,#) order by round(absMagR,#)"
2019-08-19 10:27:00,1
2019-08-19 13:02:00,1
