203,"select p.run, p.camcol, p.field from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-08-19 00:44:00,2
2019-08-19 00:45:00,1
2019-08-19 00:47:00,1
2019-08-19 01:04:00,3
2019-08-19 01:07:00,1
2019-08-19 01:24:00,3
2019-08-19 01:27:00,1
2019-08-19 01:43:00,4
2019-08-19 01:44:00,3
2019-08-19 01:47:00,1
2019-08-19 02:03:00,3
2019-08-19 02:06:00,1
2019-08-19 02:10:00,2
2019-08-19 02:22:00,2
2019-08-19 02:23:00,3
2019-08-19 02:25:00,1
2019-08-19 02:30:00,2
2019-08-19 02:31:00,3
2019-08-19 02:33:00,1
2019-08-19 02:38:00,3
2019-08-19 02:41:00,1
2019-08-19 02:45:00,2
2019-08-19 02:46:00,2
2019-08-19 02:47:00,1
2019-08-19 02:52:00,2
2019-08-19 02:53:00,1
2019-08-19 02:55:00,1
2019-08-19 02:59:00,3
2019-08-19 03:01:00,1
2019-08-19 03:06:00,4
2019-08-19 03:08:00,1
2019-08-19 03:11:00,2
2019-08-19 03:13:00,3
2019-08-19 03:15:00,1
2019-08-19 03:18:00,2
2019-08-19 03:44:00,2
2019-08-19 03:45:00,1
2019-08-19 03:47:00,1
2019-08-19 06:38:00,2
2019-08-19 06:39:00,8
2019-08-19 06:41:00,1
2019-08-19 06:45:00,2
2019-08-19 06:59:00,10
2019-08-19 07:01:00,2
2019-08-19 07:03:00,2
2019-08-19 07:14:00,6
2019-08-19 07:15:00,4
2019-08-19 07:16:00,1
2019-08-19 07:18:00,2
2019-08-19 07:30:00,6
2019-08-19 07:31:00,4
2019-08-19 07:32:00,2
2019-08-19 07:34:00,2
2019-08-19 07:51:00,8
2019-08-19 07:52:00,2
2019-08-19 07:53:00,2
2019-08-19 07:55:00,2
2019-08-19 08:00:00,4
2019-08-19 08:01:00,6
2019-08-19 08:03:00,1
2019-08-19 08:05:00,2
2019-08-19 08:07:00,1
2019-08-19 08:08:00,3
2019-08-19 08:11:00,1
2019-08-19 08:12:00,2
2019-08-19 08:15:00,4
2019-08-19 08:16:00,1
2019-08-19 08:17:00,1
2019-08-19 08:19:00,2
2019-08-19 08:21:00,1
2019-08-19 08:22:00,2
2019-08-19 08:23:00,1
2019-08-19 08:26:00,2
2019-08-19 08:28:00,1
2019-08-19 08:29:00,2
2019-08-19 08:30:00,1
2019-08-19 08:33:00,2
2019-08-19 09:59:00,2
2019-08-19 10:00:00,6
2019-08-19 10:02:00,2
2019-08-19 10:06:00,2
2019-08-19 10:20:00,7
2019-08-19 10:21:00,2
2019-08-19 10:23:00,2
