6,"select top # s.ra,s.dec,s.z,s.bestobjid,s.specobjid from  dbo.fgetnearbyobjalleq(#,#,#) as n join specobj as s on s.bestobjid= n.objid"
2019-05-22 05:33:00,1
2019-05-22 05:38:00,2
2019-05-22 05:39:00,1
2019-05-22 05:42:00,1
2019-05-22 05:43:00,1
