13,"SELECT up_id,  dbo.fGetNearestObjIdEq( up_ra,up_dec,up_sep ) as objId   FROM #upload  WHERE  dbo.fGetNearestObjIdEq( up_ra,up_dec,up_sep ) IS NOT NULL  SELECT TOP #   p.ra,p.dec, p.run,p.rerun,p.camCol,p.field,p.obj  FROM ..PhotoObj AS p  JOIN #x AS x ON x.objID=p.objID  JOIN #upload AS u ON u.up_id = x.up_id   WHERE  ( p.type = # OR p.type = #)   ORDER BY x.up_id"
2019-05-22 10:57:00,2
2019-05-22 21:52:00,1
2019-05-22 21:53:00,2
2019-05-22 21:54:00,2
2019-05-22 21:55:00,1
2019-05-22 21:56:00,1
2019-05-22 21:58:00,1
2019-05-22 22:00:00,1
2019-05-22 22:04:00,1
2019-05-22 22:05:00,1
