2,"SELECT TOP # specObjID, z, ra, dec FROM SpecObj WHERE class=&&& AND ra<=# AND ra>=# AND dec <=# AND dec >=# ORDER BY z DESC"
2019-05-22 00:32:00,1
2019-05-22 03:14:00,1
