20,"SELECT s.ra, s.dec,s.z, p.z,p.zErr, p.absMagI,p.absMagR,p.absMagG,p.absMagU FROM Photoz AS p JOIN SpecPhoto as s ON p.ObjID = s.ObjID WHERE p.z BETWEEN # and # AND p.nnIsInside = # AND p.nnCount > # AND p.zErr BETWEEN # AND #"
2019-05-22 09:52:00,2
2019-05-22 09:53:00,1
2019-05-22 09:59:00,1
2019-05-22 14:56:00,1
2019-05-22 14:57:00,1
2019-05-22 14:59:00,1
2019-05-22 15:00:00,1
2019-05-22 15:01:00,1
2019-05-22 15:13:00,1
2019-05-22 15:25:00,1
2019-05-22 17:13:00,1
2019-05-22 17:14:00,1
2019-05-22 17:15:00,2
2019-05-22 17:16:00,2
2019-05-22 17:19:00,1
2019-05-22 17:20:00,1
2019-05-22 18:21:00,1
