41,"select name, type, description from DBObjects where  type in (&&&,&&&) and UPPER(name) like &&&"
2019-05-22 00:42:00,10
2019-05-22 02:05:00,1
2019-05-22 05:46:00,1
2019-05-22 08:32:00,1
2019-05-22 08:57:00,1
2019-05-22 09:07:00,1
2019-05-22 09:37:00,1
2019-05-22 10:24:00,1
2019-05-22 11:59:00,1
2019-05-22 15:02:00,2
2019-05-22 15:11:00,1
2019-05-22 18:29:00,1
2019-05-22 18:42:00,1
2019-05-22 20:51:00,1
2019-05-22 20:53:00,1
2019-05-22 21:04:00,1
2019-05-22 21:08:00,1
2019-05-22 21:32:00,1
2019-05-22 23:41:00,1
2019-05-22 23:44:00,9
2019-05-22 23:45:00,2
2019-05-22 23:58:00,1
