239,"select p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z FROM PhotoPrimary AS p WHERE type=# AND ((flags_r & #) != #)AND ((flags_r & #) = #)AND (((flags_r & #) = #) or (psfmagerr_g <= #))AND (((flags_r & #) = #) or (flags_r & #) = #)AND p.ra BETWEEN (#-#) AND (#+#) AND p.dec BETWEEN (#-#) AND (#+#) ORDER BY p.objid"
2019-05-22 16:37:00,1
2019-05-22 17:23:00,11
2019-05-22 17:24:00,9
2019-05-22 17:47:00,24
2019-05-22 17:50:00,1
2019-05-22 17:51:00,23
2019-05-22 17:53:00,1
2019-05-22 17:54:00,23
2019-05-22 17:57:00,23
2019-05-22 18:00:00,26
2019-05-22 18:03:00,22
2019-05-22 18:06:00,4
2019-05-22 18:07:00,22
2019-05-22 18:08:00,3
2019-05-22 18:09:00,45
2019-05-22 18:40:00,1
