2236,"UPDATE FramePathProcessing                         SET processed = #, goodMeltScore = #, fastBottomScore = #, fastTopScore = #, processedPath = &&&                         WHERE Path = &&&"
2019-05-22 15:04:00,23
2019-05-22 15:05:00,28
2019-05-22 15:06:00,30
2019-05-22 15:07:00,29
2019-05-22 15:08:00,28
2019-05-22 15:09:00,29
2019-05-22 15:10:00,29
2019-05-22 15:11:00,30
2019-05-22 15:12:00,30
2019-05-22 15:13:00,28
2019-05-22 15:14:00,30
2019-05-22 15:15:00,29
2019-05-22 15:16:00,29
2019-05-22 15:17:00,30
2019-05-22 15:18:00,29
2019-05-22 15:19:00,29
2019-05-22 15:20:00,30
2019-05-22 15:21:00,29
2019-05-22 15:22:00,29
2019-05-22 15:23:00,29
2019-05-22 15:24:00,30
2019-05-22 15:25:00,30
2019-05-22 15:26:00,30
2019-05-22 15:27:00,29
2019-05-22 15:28:00,31
2019-05-22 15:29:00,29
2019-05-22 15:30:00,30
2019-05-22 15:31:00,30
2019-05-22 15:32:00,30
2019-05-22 15:33:00,31
2019-05-22 15:34:00,30
2019-05-22 15:35:00,30
2019-05-22 15:36:00,30
2019-05-22 15:37:00,31
2019-05-22 15:38:00,30
2019-05-22 15:39:00,30
2019-05-22 15:40:00,29
2019-05-22 15:41:00,31
2019-05-22 15:42:00,31
2019-05-22 15:43:00,30
2019-05-22 15:44:00,30
2019-05-22 15:45:00,31
2019-05-22 15:46:00,30
2019-05-22 15:47:00,31
2019-05-22 15:48:00,30
2019-05-22 15:49:00,30
2019-05-22 15:50:00,31
2019-05-22 15:51:00,30
2019-05-22 15:52:00,30
2019-05-22 15:53:00,31
2019-05-22 15:54:00,30
2019-05-22 15:55:00,30
2019-05-22 15:56:00,30
2019-05-22 15:57:00,30
2019-05-22 15:58:00,30
2019-05-22 15:59:00,30
2019-05-22 16:00:00,28
2019-05-22 16:01:00,29
2019-05-22 16:02:00,30
2019-05-22 16:03:00,30
2019-05-22 16:04:00,29
2019-05-22 16:05:00,29
2019-05-22 16:06:00,30
2019-05-22 16:07:00,30
2019-05-22 16:08:00,30
2019-05-22 16:09:00,31
2019-05-22 16:10:00,29
2019-05-22 16:11:00,30
2019-05-22 16:12:00,30
2019-05-22 16:13:00,30
2019-05-22 16:14:00,29
2019-05-22 16:15:00,29
2019-05-22 16:16:00,29
2019-05-22 16:17:00,29
2019-05-22 16:18:00,30
2019-05-22 16:19:00,12
