33,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p WHERE n.objID=p.objID"
2019-05-22 05:40:00,1
2019-05-22 05:43:00,1
2019-05-22 05:47:00,1
2019-05-22 05:51:00,1
2019-05-22 05:55:00,1
2019-05-22 05:59:00,1
2019-05-22 06:03:00,1
2019-05-22 06:07:00,1
2019-05-22 06:11:00,1
2019-05-22 06:15:00,1
2019-05-22 06:19:00,1
2019-05-22 06:24:00,1
2019-05-22 06:30:00,1
2019-05-22 06:33:00,1
2019-05-22 06:38:00,1
2019-05-22 06:41:00,1
2019-05-22 06:46:00,1
2019-05-22 06:50:00,1
2019-05-22 06:54:00,1
2019-05-22 06:57:00,1
2019-05-22 07:02:00,1
2019-05-22 07:06:00,1
2019-05-22 07:10:00,1
2019-05-22 07:13:00,1
2019-05-22 07:18:00,1
2019-05-22 07:22:00,1
2019-05-22 07:26:00,1
2019-05-22 07:29:00,1
2019-05-22 07:50:00,1
2019-05-22 07:54:00,1
2019-05-22 07:58:00,1
2019-05-22 08:02:00,1
2019-05-22 15:31:00,1
