4,"select A.plateid, A.mjd, A.fiberid, A.z, A.spectrotype, A.subclass into mydb.MyTable_# from galspecInfo as A where   A.z<# and    A.subclass=&&&"
2019-01-27 05:03:00,2
2019-01-27 10:42:00,2
