46,"select name, type, description from DBObjects where  type in (&&&,&&&) and UPPER(name) like &&&"
2019-01-27 02:08:00,1
2019-01-27 03:52:00,4
2019-01-27 03:53:00,2
2019-01-27 03:58:00,1
2019-01-27 07:21:00,2
2019-01-27 07:22:00,1
2019-01-27 09:49:00,1
2019-01-27 09:50:00,15
2019-01-27 15:08:00,1
2019-01-27 15:09:00,1
2019-01-27 15:23:00,3
2019-01-27 15:26:00,1
2019-01-27 15:30:00,1
2019-01-27 15:39:00,2
2019-01-27 15:43:00,1
2019-01-27 15:50:00,1
2019-01-27 16:16:00,5
2019-01-27 18:19:00,1
2019-01-27 19:46:00,1
2019-01-27 20:24:00,1
