306,"select p.run, p.camcol, p.field from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-01-27 02:53:00,1
2019-01-27 02:56:00,1
2019-01-27 03:01:00,1
2019-01-27 03:12:00,2
2019-01-27 03:17:00,3
2019-01-27 03:19:00,2
2019-01-27 03:22:00,3
2019-01-27 03:24:00,3
2019-01-27 03:28:00,2
2019-01-27 03:30:00,2
2019-01-27 03:34:00,2
2019-01-27 03:35:00,2
2019-01-27 03:37:00,2
2019-01-27 03:38:00,2
2019-01-27 03:41:00,2
2019-01-27 03:43:00,2
2019-01-27 03:45:00,2
2019-01-27 03:46:00,2
2019-01-27 03:48:00,2
2019-01-27 03:49:00,2
2019-01-27 03:50:00,2
2019-01-27 03:52:00,2
2019-01-27 03:53:00,2
2019-01-27 03:55:00,2
2019-01-27 03:56:00,2
2019-01-27 03:57:00,2
2019-01-27 03:58:00,2
2019-01-27 03:59:00,2
2019-01-27 04:02:00,4
2019-01-27 04:05:00,2
2019-01-27 04:07:00,2
2019-01-27 04:08:00,2
2019-01-27 04:09:00,2
2019-01-27 04:10:00,2
2019-01-27 04:13:00,2
2019-01-27 04:14:00,1
2019-01-27 04:18:00,2
2019-01-27 04:20:00,1
2019-01-27 04:21:00,1
2019-01-27 04:23:00,2
2019-01-27 04:26:00,2
2019-01-27 04:29:00,2
2019-01-27 04:32:00,3
2019-01-27 04:35:00,1
2019-01-27 04:36:00,1
2019-01-27 04:37:00,1
2019-01-27 04:39:00,1
2019-01-27 04:41:00,1
2019-01-27 04:43:00,3
2019-01-27 04:46:00,2
2019-01-27 04:47:00,2
2019-01-27 04:48:00,2
2019-01-27 04:50:00,2
2019-01-27 04:51:00,2
2019-01-27 04:53:00,2
2019-01-27 04:54:00,1
2019-01-27 04:57:00,2
2019-01-27 04:59:00,2
2019-01-27 05:01:00,2
2019-01-27 05:04:00,2
2019-01-27 05:06:00,2
2019-01-27 05:08:00,4
2019-01-27 05:12:00,2
2019-01-27 05:14:00,4
2019-01-27 05:17:00,4
2019-01-27 05:19:00,2
2019-01-27 05:21:00,1
2019-01-27 05:37:00,5
2019-01-27 05:40:00,2
2019-01-27 05:43:00,2
2019-01-27 05:44:00,1
2019-01-27 05:47:00,2
2019-01-27 06:06:00,3
2019-01-27 06:07:00,1
2019-01-27 06:09:00,4
2019-01-27 06:11:00,2
2019-01-27 06:13:00,2
2019-01-27 06:21:00,2
2019-01-27 06:22:00,2
2019-01-27 06:23:00,2
2019-01-27 06:24:00,2
2019-01-27 06:27:00,4
2019-01-27 06:31:00,2
2019-01-27 06:38:00,2
2019-01-27 06:39:00,2
2019-01-27 06:40:00,2
2019-01-27 06:42:00,2
2019-01-27 06:45:00,3
2019-01-27 06:49:00,2
2019-01-27 06:51:00,3
2019-01-27 06:53:00,2
2019-01-27 06:54:00,3
2019-01-27 06:56:00,3
2019-01-27 06:58:00,5
2019-01-27 07:02:00,2
2019-01-27 07:04:00,2
2019-01-27 07:07:00,4
2019-01-27 07:09:00,2
2019-01-27 07:11:00,2
2019-01-27 07:12:00,2
2019-01-27 07:15:00,2
2019-01-27 07:20:00,2
2019-01-27 07:22:00,4
2019-01-27 07:24:00,2
2019-01-27 07:27:00,3
2019-01-27 07:31:00,2
2019-01-27 07:35:00,2
2019-01-27 07:37:00,4
2019-01-27 07:39:00,2
2019-01-27 07:42:00,3
2019-01-27 07:48:00,2
2019-01-27 07:50:00,2
2019-01-27 07:51:00,2
2019-01-27 07:52:00,2
2019-01-27 07:55:00,4
2019-01-27 07:58:00,3
2019-01-27 07:59:00,2
2019-01-27 08:00:00,2
2019-01-27 08:01:00,3
2019-01-27 08:02:00,3
2019-01-27 08:05:00,2
2019-01-27 08:09:00,2
2019-01-27 08:15:00,5
2019-01-27 08:18:00,6
2019-01-27 08:22:00,2
2019-01-27 08:24:00,2
2019-01-27 08:27:00,1
2019-01-27 08:30:00,3
2019-01-27 08:33:00,3
2019-01-27 08:36:00,1
2019-01-27 08:56:00,2
2019-01-27 08:58:00,4
2019-01-27 09:00:00,2
2019-01-27 09:02:00,1
2019-01-27 09:03:00,2
2019-01-27 09:07:00,2
