10940,select fieldid from field where cccol_u between # and # and skyframes_r between # and #
2019-01-27 06:40:00,64
2019-01-27 07:02:00,27
2019-01-27 07:29:00,2
2019-01-27 07:46:00,3
2019-01-27 08:12:00,45
2019-01-27 08:13:00,24
2019-01-27 08:43:00,1
2019-01-27 10:17:00,2
2019-01-27 10:35:00,83
2019-01-27 10:36:00,336
2019-01-27 10:37:00,341
2019-01-27 10:38:00,309
2019-01-27 10:39:00,334
2019-01-27 10:40:00,344
2019-01-27 10:41:00,335
2019-01-27 10:42:00,126
2019-01-27 10:43:00,180
2019-01-27 10:47:00,272
2019-01-27 10:48:00,458
2019-01-27 10:49:00,500
2019-01-27 10:50:00,459
2019-01-27 10:51:00,241
2019-01-27 10:54:00,112
2019-01-27 10:55:00,524
2019-01-27 10:56:00,413
2019-01-27 10:57:00,217
2019-01-27 10:59:00,134
2019-01-27 11:00:00,262
2019-01-27 11:01:00,486
2019-01-27 11:02:00,507
2019-01-27 11:03:00,331
2019-01-27 11:04:00,347
2019-01-27 11:05:00,322
2019-01-27 11:06:00,362
2019-01-27 11:07:00,407
2019-01-27 11:08:00,5
2019-01-27 11:37:00,3
2019-01-27 13:45:00,4
2019-01-27 15:49:00,3
2019-01-27 16:04:00,6
2019-01-27 16:29:00,6
2019-01-27 16:30:00,2
2019-01-27 16:43:00,3
2019-01-27 17:37:00,33
2019-01-27 17:51:00,3
2019-01-27 18:47:00,13
2019-01-27 20:15:00,1
2019-01-27 21:03:00,18
2019-01-27 21:04:00,349
2019-01-27 21:05:00,368
2019-01-27 21:06:00,35
2019-01-27 21:07:00,398
2019-01-27 21:08:00,361
2019-01-27 21:09:00,369
2019-01-27 21:10:00,13
2019-01-27 21:22:00,4
2019-01-27 21:46:00,3
2019-01-27 22:36:00,1
2019-01-27 22:47:00,24
2019-01-27 23:15:00,1
2019-01-27 23:16:00,1
2019-01-27 23:43:00,3
