83,select fieldid from field where cccol_u between # and .# and skyframes_r between .# and #
2019-01-27 18:43:00,1
2019-01-27 18:47:00,3
2019-01-27 18:58:00,1
2019-01-27 19:01:00,1
2019-01-27 19:11:00,1
2019-01-27 19:15:00,1
2019-01-27 19:27:00,1
2019-01-27 19:28:00,1
2019-01-27 19:41:00,1
2019-01-27 19:43:00,1
2019-01-27 19:51:00,1
2019-01-27 19:54:00,1
2019-01-27 19:56:00,1
2019-01-27 20:00:00,1
2019-01-27 20:06:00,1
2019-01-27 20:10:00,1
2019-01-27 20:15:00,1
2019-01-27 20:19:00,1
2019-01-27 20:21:00,1
2019-01-27 20:29:00,1
2019-01-27 20:32:00,1
2019-01-27 20:34:00,1
2019-01-27 20:43:00,2
2019-01-27 20:48:00,1
2019-01-27 20:57:00,1
2019-01-27 21:09:00,7
2019-01-27 21:10:00,1
2019-01-27 21:22:00,2
2019-01-27 21:24:00,1
2019-01-27 21:25:00,1
2019-01-27 21:32:00,1
2019-01-27 21:36:00,1
2019-01-27 21:38:00,1
2019-01-27 21:40:00,1
2019-01-27 21:46:00,1
2019-01-27 21:50:00,1
2019-01-27 21:53:00,1
2019-01-27 21:54:00,1
2019-01-27 21:59:00,1
2019-01-27 22:03:00,1
2019-01-27 22:08:00,1
2019-01-27 22:10:00,1
2019-01-27 22:11:00,1
2019-01-27 22:16:00,1
2019-01-27 22:24:00,2
2019-01-27 22:26:00,1
2019-01-27 22:36:00,2
2019-01-27 22:42:00,1
2019-01-27 22:47:00,6
2019-01-27 23:00:00,1
2019-01-27 23:01:00,1
2019-01-27 23:02:00,2
2019-01-27 23:13:00,1
2019-01-27 23:16:00,2
2019-01-27 23:20:00,1
2019-01-27 23:27:00,1
2019-01-27 23:30:00,2
2019-01-27 23:34:00,1
2019-01-27 23:41:00,1
2019-01-27 23:43:00,1
2019-01-27 23:50:00,1
2019-01-27 23:51:00,1
2019-01-27 23:55:00,1
