372,select fieldid from field where cccol_u between # and # and skyframes_r between .# and #
2019-01-27 00:01:00,1
2019-01-27 00:04:00,1
2019-01-27 00:07:00,1
2019-01-27 00:09:00,1
2019-01-27 00:15:00,1
2019-01-27 00:17:00,1
2019-01-27 00:24:00,1
2019-01-27 00:26:00,1
2019-01-27 00:32:00,1
2019-01-27 00:35:00,1
2019-01-27 00:41:00,6
2019-01-27 00:53:00,1
2019-01-27 00:55:00,1
2019-01-27 00:56:00,2
2019-01-27 01:06:00,1
2019-01-27 01:09:00,2
2019-01-27 01:13:00,1
2019-01-27 01:18:00,1
2019-01-27 01:22:00,1
2019-01-27 01:24:00,1
2019-01-27 01:28:00,1
2019-01-27 01:31:00,1
2019-01-27 01:35:00,1
2019-01-27 01:38:00,1
2019-01-27 01:43:00,1
2019-01-27 01:46:00,1
2019-01-27 01:49:00,1
2019-01-27 01:50:00,1
2019-01-27 01:58:00,1
2019-01-27 02:00:00,1
2019-01-27 02:03:00,1
2019-01-27 02:06:00,1
2019-01-27 02:12:00,1
2019-01-27 02:13:00,1
2019-01-27 02:18:00,1
2019-01-27 02:23:00,1
2019-01-27 02:26:00,1
2019-01-27 02:30:00,1
2019-01-27 02:31:00,1
2019-01-27 02:36:00,1
2019-01-27 02:39:00,1
2019-01-27 02:46:00,1
2019-01-27 02:48:00,1
2019-01-27 02:49:00,1
2019-01-27 02:53:00,1
2019-01-27 03:02:00,3
2019-01-27 03:07:00,1
2019-01-27 03:12:00,1
2019-01-27 03:16:00,1
2019-01-27 03:19:00,1
2019-01-27 03:24:00,1
2019-01-27 03:25:00,1
2019-01-27 03:36:00,1
2019-01-27 03:40:00,6
2019-01-27 03:52:00,1
2019-01-27 03:55:00,1
2019-01-27 03:56:00,1
2019-01-27 03:57:00,1
2019-01-27 04:06:00,1
2019-01-27 04:11:00,1
2019-01-27 04:12:00,1
2019-01-27 04:13:00,1
2019-01-27 04:21:00,1
2019-01-27 04:24:00,1
2019-01-27 04:27:00,1
2019-01-27 04:28:00,1
2019-01-27 04:35:00,1
2019-01-27 04:40:00,1
2019-01-27 04:42:00,1
2019-01-27 04:44:00,1
2019-01-27 04:50:00,1
2019-01-27 04:54:00,1
2019-01-27 04:57:00,1
2019-01-27 04:58:00,1
2019-01-27 05:03:00,1
2019-01-27 05:07:00,1
2019-01-27 05:12:00,1
2019-01-27 05:15:00,1
2019-01-27 05:17:00,1
2019-01-27 05:19:00,1
2019-01-27 05:24:00,1
2019-01-27 05:28:00,1
2019-01-27 05:34:00,2
2019-01-27 05:37:00,1
2019-01-27 05:42:00,1
2019-01-27 05:47:00,1
2019-01-27 05:49:00,1
2019-01-27 05:50:00,1
2019-01-27 05:56:00,1
2019-01-27 06:03:00,2
2019-01-27 06:07:00,1
2019-01-27 06:08:00,1
2019-01-27 06:15:00,1
2019-01-27 06:17:00,1
2019-01-27 06:20:00,1
2019-01-27 06:23:00,1
2019-01-27 06:30:00,1
2019-01-27 06:36:00,1
2019-01-27 06:40:00,5
2019-01-27 06:47:00,1
2019-01-27 06:48:00,1
2019-01-27 06:54:00,1
2019-01-27 06:55:00,1
2019-01-27 07:02:00,8
2019-01-27 07:14:00,1
2019-01-27 07:15:00,1
2019-01-27 07:16:00,1
2019-01-27 07:17:00,1
2019-01-27 07:27:00,1
2019-01-27 07:29:00,1
2019-01-27 07:30:00,1
2019-01-27 07:31:00,1
2019-01-27 07:41:00,1
2019-01-27 07:43:00,1
2019-01-27 07:44:00,1
2019-01-27 07:54:00,2
2019-01-27 07:55:00,1
2019-01-27 08:03:00,1
2019-01-27 08:08:00,1
2019-01-27 08:12:00,4
2019-01-27 08:13:00,8
2019-01-27 08:26:00,3
2019-01-27 08:29:00,1
2019-01-27 08:40:00,1
2019-01-27 08:41:00,2
2019-01-27 08:43:00,1
2019-01-27 08:54:00,1
2019-01-27 08:55:00,1
2019-01-27 08:57:00,1
2019-01-27 08:58:00,1
2019-01-27 09:08:00,2
2019-01-27 09:10:00,1
2019-01-27 09:14:00,1
2019-01-27 09:22:00,2
2019-01-27 09:24:00,1
2019-01-27 09:29:00,1
2019-01-27 09:34:00,1
2019-01-27 09:38:00,1
2019-01-27 09:39:00,1
2019-01-27 09:43:00,1
2019-01-27 09:47:00,1
2019-01-27 09:51:00,2
2019-01-27 10:00:00,1
2019-01-27 10:02:00,1
2019-01-27 10:03:00,1
2019-01-27 10:06:00,1
2019-01-27 10:16:00,2
2019-01-27 10:17:00,1
2019-01-27 10:26:00,1
2019-01-27 10:31:00,1
2019-01-27 10:47:00,6
2019-01-27 10:55:00,2
2019-01-27 11:04:00,2
2019-01-27 11:05:00,8
2019-01-27 11:07:00,9
2019-01-27 11:08:00,1
2019-01-27 11:19:00,1
2019-01-27 11:21:00,1
2019-01-27 11:22:00,1
2019-01-27 11:23:00,1
2019-01-27 11:32:00,1
2019-01-27 11:35:00,1
2019-01-27 11:37:00,2
2019-01-27 11:48:00,1
2019-01-27 11:49:00,1
2019-01-27 11:51:00,1
2019-01-27 11:52:00,1
2019-01-27 12:02:00,1
2019-01-27 12:05:00,2
2019-01-27 12:07:00,1
2019-01-27 12:15:00,1
2019-01-27 12:19:00,2
2019-01-27 12:21:00,1
2019-01-27 12:29:00,1
2019-01-27 12:33:00,1
2019-01-27 12:34:00,2
2019-01-27 12:42:00,1
2019-01-27 12:48:00,1
2019-01-27 12:50:00,1
2019-01-27 12:53:00,1
2019-01-27 12:59:00,1
2019-01-27 13:01:00,1
2019-01-27 13:09:00,4
2019-01-27 13:22:00,2
2019-01-27 13:25:00,1
2019-01-27 13:26:00,1
2019-01-27 13:34:00,1
2019-01-27 13:35:00,1
2019-01-27 13:38:00,1
2019-01-27 13:44:00,1
2019-01-27 13:45:00,1
2019-01-27 13:49:00,1
2019-01-27 13:52:00,1
2019-01-27 13:57:00,1
2019-01-27 13:59:00,1
2019-01-27 14:03:00,1
