763,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-04-14 12:36:00,61
2019-04-14 12:37:00,45
2019-04-14 12:40:00,25
2019-04-14 12:41:00,22
2019-04-14 12:42:00,21
2019-04-14 12:43:00,23
2019-04-14 12:44:00,10
2019-04-14 12:45:00,6
2019-04-14 12:50:00,4
2019-04-14 12:51:00,11
2019-04-14 12:52:00,40
2019-04-14 12:56:00,6
2019-04-14 12:57:00,5
2019-04-14 13:01:00,5
2019-04-14 13:03:00,4
2019-04-14 13:06:00,35
2019-04-14 13:07:00,7
2019-04-14 13:12:00,11
2019-04-14 13:13:00,3
2019-04-14 13:16:00,13
2019-04-14 13:18:00,6
2019-04-14 13:26:00,8
2019-04-14 13:28:00,9
2019-04-14 13:29:00,4
2019-04-14 13:35:00,18
2019-04-14 13:36:00,26
2019-04-14 13:37:00,43
2019-04-14 13:41:00,10
2019-04-14 13:48:00,40
2019-04-14 13:49:00,88
2019-04-14 13:50:00,19
2019-04-14 13:59:00,3
2019-04-14 14:00:00,50
2019-04-14 14:08:00,7
2019-04-14 14:09:00,14
2019-04-14 14:16:00,51
2019-04-14 14:21:00,10
