3,"SELECT    m.ra as my_ra,   m.dec as my_dec,   m.petro_r,   s.objid,    s.ra,    s.dec,   s.petroMag_r    into mydb.PhotoCompanions from MyDB.colors_platemjdfiber AS m   OUTER APPLY dbo.fGetNearbyObjEq( m.ra, m.dec, @radius) AS n      LEFT JOIN SpecPhotoAll AS s ON n.objID=s.objID   WHERE s.petroMag_r > m.petro_r     AND s.class = &&&"
2019-04-14 17:00:00,2
2019-04-14 17:13:00,1
