6,"select ra,dec,z into mydb.MyTable_# from specObj  where ra BETWEEN # and # AND   dec BETWEEN # and # AND   z BETWEEN # AND # AND   class=&&& AND   zWarning=#"
2019-04-14 06:47:00,2
2019-04-14 06:48:00,2
2019-04-14 06:52:00,2
