1844,"select p.u,p.g,p.r from photoObj as p where p.objId = #"
2019-04-14 20:15:00,85
2019-04-14 20:16:00,227
2019-04-14 20:17:00,233
2019-04-14 20:18:00,226
2019-04-14 20:19:00,174
2019-04-14 20:20:00,293
2019-04-14 20:21:00,280
2019-04-14 20:22:00,254
2019-04-14 20:23:00,72
