167,select * from zoo2Stripe8#Normal where dr8objid=#
2019-09-29 04:56:00,3
2019-09-29 04:57:00,5
2019-09-29 04:58:00,4
2019-09-29 04:59:00,2
2019-09-29 05:00:00,3
2019-09-29 05:01:00,3
2019-09-29 05:02:00,4
2019-09-29 05:03:00,5
2019-09-29 05:04:00,1
2019-09-29 05:05:00,2
2019-09-29 05:06:00,3
2019-09-29 05:07:00,2
2019-09-29 05:08:00,4
2019-09-29 05:09:00,5
2019-09-29 05:10:00,3
2019-09-29 05:11:00,5
2019-09-29 05:12:00,5
2019-09-29 05:13:00,3
2019-09-29 05:14:00,3
2019-09-29 05:15:00,4
2019-09-29 05:16:00,4
2019-09-29 05:17:00,4
2019-09-29 05:18:00,3
2019-09-29 05:19:00,4
2019-09-29 05:20:00,4
2019-09-29 05:21:00,6
2019-09-29 05:22:00,5
2019-09-29 07:22:00,1
2019-09-29 09:11:00,12
2019-09-29 09:12:00,29
2019-09-29 09:13:00,25
2019-09-29 15:29:00,1
