4216,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field, s.z, s.plate, s.mjd, s.fiberID, s.specobjid, s.run2d, s.instrument FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-09-29 00:00:00,8
2019-09-29 00:01:00,13
2019-09-29 00:04:00,3
2019-09-29 00:05:00,6
2019-09-29 00:06:00,7
2019-09-29 00:07:00,11
2019-09-29 00:08:00,5
2019-09-29 00:09:00,14
2019-09-29 00:10:00,12
2019-09-29 00:13:00,2
2019-09-29 00:14:00,10
2019-09-29 00:15:00,2
2019-09-29 00:16:00,8
2019-09-29 00:17:00,16
2019-09-29 00:18:00,8
2019-09-29 00:19:00,9
2019-09-29 00:20:00,1
2019-09-29 00:23:00,11
2019-09-29 00:24:00,7
2019-09-29 00:25:00,5
2019-09-29 00:26:00,4
2019-09-29 00:27:00,17
2019-09-29 00:28:00,13
2019-09-29 00:29:00,7
2019-09-29 00:32:00,8
2019-09-29 00:33:00,11
2019-09-29 00:34:00,5
2019-09-29 00:35:00,2
2019-09-29 00:36:00,7
2019-09-29 00:37:00,10
2019-09-29 00:38:00,16
2019-09-29 00:39:00,1
2019-09-29 00:42:00,25
2019-09-29 00:43:00,5
2019-09-29 00:44:00,1
2019-09-29 00:45:00,16
2019-09-29 00:46:00,3
2019-09-29 00:47:00,10
2019-09-29 00:48:00,12
2019-09-29 00:49:00,7
2019-09-29 00:51:00,6
2019-09-29 00:52:00,12
2019-09-29 00:54:00,4
2019-09-29 00:55:00,13
2019-09-29 00:56:00,12
2019-09-29 00:57:00,6
2019-09-29 00:58:00,7
2019-09-29 00:59:00,2
2019-09-29 01:00:00,15
2019-09-29 01:01:00,8
2019-09-29 01:04:00,8
2019-09-29 01:05:00,8
2019-09-29 01:06:00,8
2019-09-29 01:08:00,9
2019-09-29 01:09:00,4
2019-09-29 01:10:00,6
2019-09-29 01:12:00,3
2019-09-29 01:13:00,8
2019-09-29 01:14:00,8
2019-09-29 01:16:00,10
2019-09-29 01:17:00,5
2019-09-29 01:18:00,4
2019-09-29 01:19:00,1
2019-09-29 01:21:00,10
2019-09-29 01:22:00,7
2019-09-29 01:23:00,2
2019-09-29 01:25:00,5
2019-09-29 01:26:00,15
2019-09-29 01:27:00,2
2019-09-29 01:29:00,1
2019-09-29 01:30:00,19
2019-09-29 01:31:00,5
2019-09-29 01:32:00,6
2019-09-29 01:33:00,6
2019-09-29 01:34:00,1
2019-09-29 01:35:00,2
2019-09-29 01:36:00,11
2019-09-29 01:38:00,4
2019-09-29 01:39:00,12
2019-09-29 01:41:00,8
2019-09-29 01:42:00,14
2019-09-29 01:43:00,6
2019-09-29 01:44:00,2
2019-09-29 01:45:00,6
2019-09-29 01:46:00,1
2019-09-29 01:47:00,9
2019-09-29 01:48:00,5
2019-09-29 01:49:00,2
2019-09-29 01:50:00,11
2019-09-29 01:51:00,9
2019-09-29 01:52:00,6
2019-09-29 01:54:00,8
2019-09-29 01:55:00,4
2019-09-29 01:56:00,2
2019-09-29 01:57:00,2
2019-09-29 01:58:00,5
2019-09-29 01:59:00,7
2019-09-29 02:00:00,4
2019-09-29 02:01:00,2
2019-09-29 02:03:00,1
2019-09-29 02:04:00,6
2019-09-29 02:05:00,17
2019-09-29 02:06:00,5
2019-09-29 02:07:00,5
2019-09-29 02:08:00,9
2019-09-29 02:09:00,2
2019-09-29 02:12:00,3
2019-09-29 02:13:00,7
2019-09-29 02:14:00,14
2019-09-29 02:15:00,3
2019-09-29 02:16:00,16
