302,"select p.run, p.camcol, p.field from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-09-29 00:24:00,2
2019-09-29 00:27:00,1
2019-09-29 00:30:00,1
2019-09-29 01:32:00,6
2019-09-29 01:34:00,2
2019-09-29 01:35:00,2
2019-09-29 01:36:00,2
2019-09-29 01:39:00,2
2019-09-29 01:47:00,6
2019-09-29 01:49:00,2
2019-09-29 01:50:00,2
2019-09-29 01:51:00,2
2019-09-29 01:54:00,2
2019-09-29 02:03:00,6
2019-09-29 02:06:00,4
2019-09-29 02:07:00,1
2019-09-29 02:11:00,2
2019-09-29 02:19:00,4
2019-09-29 02:20:00,2
2019-09-29 02:22:00,2
2019-09-29 02:23:00,4
2019-09-29 02:33:00,2
2019-09-29 02:34:00,2
2019-09-29 02:35:00,2
2019-09-29 02:36:00,2
2019-09-29 02:37:00,2
2019-09-29 02:38:00,2
2019-09-29 02:41:00,2
2019-09-29 02:50:00,4
2019-09-29 02:51:00,2
2019-09-29 02:52:00,2
2019-09-29 02:53:00,1
2019-09-29 02:54:00,3
2019-09-29 02:57:00,2
2019-09-29 03:09:00,4
2019-09-29 03:10:00,2
2019-09-29 03:12:00,2
2019-09-29 03:13:00,3
2019-09-29 03:16:00,1
2019-09-29 03:17:00,1
2019-09-29 03:25:00,4
2019-09-29 03:26:00,2
2019-09-29 03:28:00,4
2019-09-29 03:29:00,2
2019-09-29 03:32:00,2
2019-09-29 03:40:00,4
2019-09-29 03:41:00,2
2019-09-29 03:42:00,2
2019-09-29 03:44:00,4
2019-09-29 03:47:00,2
2019-09-29 03:56:00,4
2019-09-29 03:57:00,2
2019-09-29 03:58:00,1
2019-09-29 03:59:00,1
2019-09-29 04:00:00,3
2019-09-29 04:03:00,2
2019-09-29 04:11:00,4
2019-09-29 04:12:00,2
2019-09-29 04:14:00,2
2019-09-29 04:16:00,4
2019-09-29 04:22:00,2
2019-09-29 04:24:00,1
2019-09-29 04:25:00,1
2019-09-29 04:26:00,1
2019-09-29 04:29:00,2
2019-09-29 04:31:00,1
2019-09-29 04:32:00,2
2019-09-29 04:33:00,2
2019-09-29 04:34:00,1
2019-09-29 04:35:00,1
2019-09-29 04:37:00,1
2019-09-29 04:40:00,1
2019-09-29 04:43:00,2
2019-09-29 04:45:00,1
2019-09-29 04:46:00,2
2019-09-29 04:48:00,3
2019-09-29 04:50:00,3
2019-09-29 04:52:00,1
2019-09-29 04:53:00,2
2019-09-29 04:55:00,4
2019-09-29 04:57:00,4
2019-09-29 04:59:00,4
2019-09-29 05:01:00,3
2019-09-29 05:04:00,3
2019-09-29 05:05:00,1
2019-09-29 05:06:00,2
2019-09-29 05:11:00,2
2019-09-29 05:17:00,2
2019-09-29 05:20:00,2
2019-09-29 05:24:00,2
2019-09-29 05:28:00,2
2019-09-29 05:29:00,2
2019-09-29 05:31:00,2
2019-09-29 05:33:00,2
2019-09-29 05:35:00,5
2019-09-29 05:37:00,1
2019-09-29 05:38:00,2
2019-09-29 05:39:00,1
2019-09-29 05:40:00,2
2019-09-29 05:41:00,2
2019-09-29 05:42:00,2
2019-09-29 05:43:00,1
2019-09-29 05:44:00,1
2019-09-29 05:45:00,2
2019-09-29 05:46:00,2
2019-09-29 05:49:00,2
2019-09-29 07:14:00,1
2019-09-29 07:16:00,2
2019-09-29 07:21:00,2
2019-09-29 07:22:00,2
2019-09-29 07:35:00,1
2019-09-29 07:42:00,1
2019-09-29 07:43:00,2
2019-09-29 07:47:00,2
2019-09-29 07:56:00,2
2019-09-29 08:02:00,2
2019-09-29 08:05:00,1
2019-09-29 08:06:00,2
2019-09-29 08:09:00,1
2019-09-29 08:11:00,2
2019-09-29 08:15:00,3
2019-09-29 08:19:00,2
2019-09-29 08:24:00,1
2019-09-29 08:45:00,2
2019-09-29 08:48:00,2
2019-09-29 08:51:00,2
2019-09-29 08:52:00,2
2019-09-29 08:55:00,2
2019-09-29 08:58:00,2
2019-09-29 09:01:00,6
2019-09-29 09:05:00,4
2019-09-29 09:09:00,2
2019-09-29 09:11:00,2
2019-09-29 09:15:00,2
2019-09-29 09:40:00,1
2019-09-29 09:41:00,1
2019-09-29 09:44:00,1
2019-09-29 09:46:00,1
