5,"select top #   objid,ra,dec,modelMag_r,modelMag_i,modelMag_u,modelMag_z,modelMag_g from    PhotoObjAll where   dec BETWEEN # AND #   and ra between # and #"
2019-09-29 15:10:00,2
2019-09-29 15:17:00,1
2019-09-29 15:20:00,2
