14,"select ra, dec, psfMag_r, psfMagErr_r,extinction_r from Star where ra BETWEEN # and # AND dec BETWEEN # and #"
2019-09-29 22:21:00,3
2019-09-29 22:23:00,2
2019-09-29 22:24:00,1
2019-09-29 22:40:00,1
2019-09-29 22:49:00,1
2019-09-29 22:56:00,1
2019-09-29 22:57:00,1
2019-09-29 23:00:00,1
2019-09-29 23:04:00,1
2019-09-29 23:11:00,1
2019-09-29 23:12:00,1
