4,"SELECT TOP # s.SpecObjID, s.z, L.sigma, L.height, dbo.fCosmoDl(s.z), wave, restWave, ew FROM SpecObj as s   JOIN SpecLine as L    ON s.specObjID = L.specObjID  WHERE s.specClass = # AND L.lineID = # AND s.z <#"
2019-09-29 10:34:00,1
2019-09-29 10:39:00,2
2019-09-29 10:47:00,1
