95,select AND #=#
2019-02-08 00:08:00,1
2019-02-08 00:14:00,1
2019-02-08 00:34:00,1
2019-02-08 00:42:00,1
2019-02-08 00:53:00,1
2019-02-08 01:27:00,1
2019-02-08 01:30:00,1
2019-02-08 01:45:00,1
2019-02-08 01:48:00,1
2019-02-08 01:57:00,1
2019-02-08 02:03:00,1
2019-02-08 02:09:00,1
2019-02-08 02:15:00,1
2019-02-08 02:24:00,1
2019-02-08 02:27:00,1
2019-02-08 02:39:00,1
2019-02-08 02:42:00,1
2019-02-08 02:45:00,1
2019-02-08 02:57:00,1
2019-02-08 03:06:00,1
2019-02-08 03:15:00,1
2019-02-08 03:30:00,1
2019-02-08 03:33:00,1
2019-02-08 03:36:00,1
2019-02-08 03:39:00,1
2019-02-08 03:42:00,1
2019-02-08 03:45:00,1
2019-02-08 03:51:00,1
2019-02-08 03:57:00,1
2019-02-08 04:03:00,1
2019-02-08 04:06:00,1
2019-02-08 04:15:00,1
2019-02-08 04:18:00,1
2019-02-08 04:24:00,1
2019-02-08 04:30:00,1
2019-02-08 04:34:00,1
2019-02-08 04:41:00,1
2019-02-08 04:45:00,1
2019-02-08 04:51:00,1
2019-02-08 04:54:00,1
2019-02-08 05:02:00,1
2019-02-08 05:03:00,1
2019-02-08 05:06:00,1
2019-02-08 05:09:00,1
2019-02-08 05:21:00,1
2019-02-08 05:24:00,1
2019-02-08 05:27:00,1
2019-02-08 06:03:00,1
2019-02-08 06:15:00,1
2019-02-08 06:27:00,1
2019-02-08 06:38:00,2
2019-02-08 06:56:00,1
2019-02-08 07:12:00,1
2019-02-08 07:22:00,1
2019-02-08 07:25:00,1
2019-02-08 07:33:00,1
2019-02-08 07:36:00,1
2019-02-08 07:42:00,1
2019-02-08 07:54:00,1
2019-02-08 07:57:00,1
2019-02-08 08:36:00,1
2019-02-08 08:51:00,1
2019-02-08 09:06:00,1
2019-02-08 09:09:00,2
2019-02-08 09:27:00,1
2019-02-08 09:33:00,1
2019-02-08 09:36:00,1
2019-02-08 09:39:00,1
2019-02-08 10:33:00,1
2019-02-08 10:39:00,1
2019-02-08 10:51:00,1
2019-02-08 11:16:00,1
2019-02-08 11:45:00,1
2019-02-08 12:07:00,1
2019-02-08 12:11:00,1
2019-02-08 12:31:00,1
2019-02-08 12:36:00,1
2019-02-08 12:42:00,1
2019-02-08 12:55:00,1
2019-02-08 13:14:00,1
2019-02-08 13:24:00,1
2019-02-08 13:39:00,1
2019-02-08 13:54:00,1
2019-02-08 13:58:00,1
2019-02-08 14:06:00,1
2019-02-08 14:21:00,1
2019-02-08 14:22:00,1
2019-02-08 14:24:00,1
2019-02-08 15:17:00,1
2019-02-08 15:58:00,1
2019-02-08 18:11:00,1
2019-02-08 21:32:00,1
2019-02-08 22:33:00,1
