74,select * from fDocFunctionParams(&&&)
2019-02-08 02:50:00,1
2019-02-08 05:56:00,2
2019-02-08 05:59:00,2
2019-02-08 07:29:00,1
2019-02-08 07:36:00,7
2019-02-08 07:53:00,2
2019-02-08 08:34:00,5
2019-02-08 08:35:00,3
2019-02-08 08:36:00,3
2019-02-08 08:38:00,1
2019-02-08 09:02:00,4
2019-02-08 09:03:00,6
2019-02-08 09:04:00,2
2019-02-08 10:00:00,1
2019-02-08 10:11:00,1
2019-02-08 10:29:00,1
2019-02-08 10:47:00,1
2019-02-08 10:59:00,1
2019-02-08 11:08:00,1
2019-02-08 11:14:00,1
2019-02-08 11:23:00,1
2019-02-08 11:46:00,1
2019-02-08 11:53:00,1
2019-02-08 11:56:00,1
2019-02-08 11:59:00,1
2019-02-08 12:17:00,1
2019-02-08 12:18:00,1
2019-02-08 12:21:00,1
2019-02-08 12:44:00,1
2019-02-08 14:04:00,1
2019-02-08 14:35:00,1
2019-02-08 14:57:00,1
2019-02-08 15:04:00,1
2019-02-08 15:12:00,1
2019-02-08 15:17:00,1
2019-02-08 16:17:00,1
2019-02-08 16:45:00,1
2019-02-08 17:48:00,1
2019-02-08 19:14:00,1
2019-02-08 19:20:00,1
2019-02-08 19:27:00,1
2019-02-08 19:33:00,1
2019-02-08 19:35:00,1
2019-02-08 19:38:00,2
2019-02-08 20:09:00,1
2019-02-08 20:20:00,2
