93,"SELECT TOP # dbo.fIAUFromEq(p.ra,p.dec),p.ra,p.dec,p.modelmag_g,p.modelmag_r,p.modelmag_i FROM Star as p WHERE p.modelmag_r># and p.modelmag_r<# and p.ra<# and p.ra># and p.dec># and p.dec<# order by p.modelmag_r"
2019-02-08 01:06:00,5
2019-02-08 01:11:00,1
2019-02-08 01:12:00,1
2019-02-08 01:13:00,1
2019-02-08 01:16:00,2
2019-02-08 01:20:00,12
2019-02-08 01:21:00,1
2019-02-08 01:22:00,3
2019-02-08 01:30:00,9
2019-02-08 01:31:00,3
2019-02-08 01:32:00,4
2019-02-08 01:33:00,7
2019-02-08 01:34:00,3
2019-02-08 01:35:00,3
2019-02-08 01:45:00,7
2019-02-08 01:46:00,6
2019-02-08 01:47:00,1
2019-02-08 01:48:00,1
2019-02-08 01:49:00,9
2019-02-08 05:07:00,1
2019-02-08 05:14:00,3
2019-02-08 15:53:00,1
2019-02-08 15:58:00,1
2019-02-08 17:01:00,2
2019-02-08 17:03:00,3
2019-02-08 17:04:00,3
