199,"SELECT p.specobjid, p.objid, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, s.z, p.psffwhm_z, p.psffwhm_i, p.psffwhm_r, p.psffwhm_g, p.psffwhm_u, p.expRad_z, p.expRad_i, p.expRad_r, p.expRad_g, p.expRad_u, p.expAB_z, p.expAB_i, p.expAB_r, p.expAB_g, p.expAB_u, p.expPhi_z, p.expPhi_i, p.expPhi_r, p.expPhi_g, p.expPhi_u FROM PhotoPrimary AS p JOIN SpecPhoto AS s ON s.specobjid=p.specobjid WHERE p.specobjid = #"
2019-02-08 02:43:00,1
2019-02-08 02:44:00,2
2019-02-08 02:45:00,1
2019-02-08 02:46:00,1
2019-02-08 02:47:00,1
2019-02-08 02:48:00,2
2019-02-08 02:49:00,1
2019-02-08 02:50:00,1
2019-02-08 17:16:00,1
2019-02-08 17:17:00,1
2019-02-08 17:18:00,1
2019-02-08 17:20:00,2
2019-02-08 17:21:00,2
2019-02-08 17:23:00,2
2019-02-08 17:24:00,1
2019-02-08 17:25:00,1
2019-02-08 17:26:00,1
2019-02-08 17:27:00,2
2019-02-08 17:28:00,2
2019-02-08 17:30:00,1
2019-02-08 17:31:00,2
2019-02-08 17:32:00,2
2019-02-08 17:33:00,1
2019-02-08 17:34:00,2
2019-02-08 17:35:00,1
2019-02-08 17:36:00,2
2019-02-08 17:37:00,1
2019-02-08 17:38:00,1
2019-02-08 17:39:00,2
2019-02-08 17:40:00,1
2019-02-08 17:41:00,1
2019-02-08 17:42:00,1
2019-02-08 17:43:00,1
2019-02-08 17:44:00,1
2019-02-08 17:45:00,1
2019-02-08 17:46:00,1
2019-02-08 17:47:00,3
2019-02-08 17:48:00,1
2019-02-08 17:49:00,1
2019-02-08 17:51:00,2
2019-02-08 17:53:00,2
2019-02-08 17:54:00,1
2019-02-08 17:55:00,2
2019-02-08 17:57:00,2
2019-02-08 17:58:00,1
2019-02-08 17:59:00,1
2019-02-08 18:00:00,2
2019-02-08 18:01:00,1
2019-02-08 18:02:00,1
2019-02-08 18:03:00,1
2019-02-08 18:04:00,1
2019-02-08 18:05:00,1
2019-02-08 18:06:00,1
2019-02-08 18:07:00,1
2019-02-08 18:08:00,1
2019-02-08 18:09:00,1
2019-02-08 18:10:00,2
2019-02-08 18:11:00,1
2019-02-08 18:12:00,1
2019-02-08 18:13:00,1
2019-02-08 18:14:00,2
2019-02-08 18:15:00,1
2019-02-08 18:16:00,1
2019-02-08 18:17:00,1
2019-02-08 18:18:00,2
2019-02-08 18:19:00,1
2019-02-08 18:20:00,1
2019-02-08 18:21:00,1
2019-02-08 18:22:00,1
2019-02-08 18:23:00,1
2019-02-08 18:24:00,2
2019-02-08 18:25:00,1
2019-02-08 18:26:00,1
2019-02-08 18:27:00,1
2019-02-08 18:28:00,1
2019-02-08 18:30:00,1
2019-02-08 18:31:00,1
2019-02-08 18:32:00,1
2019-02-08 18:33:00,1
2019-02-08 18:34:00,1
2019-02-08 18:35:00,1
2019-02-08 18:36:00,1
2019-02-08 18:37:00,1
2019-02-08 18:38:00,1
2019-02-08 18:39:00,1
2019-02-08 18:40:00,1
2019-02-08 18:41:00,1
2019-02-08 18:42:00,2
2019-02-08 18:43:00,1
2019-02-08 18:44:00,1
2019-02-08 18:45:00,1
2019-02-08 18:46:00,1
2019-02-08 18:47:00,1
2019-02-08 18:49:00,1
2019-02-08 18:50:00,1
2019-02-08 18:52:00,1
2019-02-08 18:53:00,1
2019-02-08 18:54:00,1
2019-02-08 18:55:00,1
2019-02-08 18:57:00,1
2019-02-08 18:58:00,1
2019-02-08 18:59:00,2
2019-02-08 19:00:00,1
2019-02-08 19:01:00,1
2019-02-08 19:02:00,1
2019-02-08 19:03:00,1
2019-02-08 19:04:00,1
2019-02-08 19:06:00,1
2019-02-08 19:07:00,2
2019-02-08 19:08:00,1
2019-02-08 19:09:00,1
2019-02-08 19:10:00,1
2019-02-08 19:11:00,2
2019-02-08 19:12:00,1
2019-02-08 19:14:00,2
2019-02-08 19:15:00,1
2019-02-08 19:16:00,1
2019-02-08 19:17:00,1
2019-02-08 19:18:00,1
2019-02-08 19:19:00,1
2019-02-08 19:20:00,1
2019-02-08 19:22:00,1
2019-02-08 19:23:00,1
2019-02-08 19:24:00,1
2019-02-08 19:25:00,1
2019-02-08 19:26:00,1
2019-02-08 19:27:00,1
2019-02-08 19:28:00,1
2019-02-08 19:29:00,1
2019-02-08 19:31:00,1
2019-02-08 19:32:00,1
2019-02-08 19:33:00,1
2019-02-08 19:34:00,1
2019-02-08 19:35:00,3
2019-02-08 19:37:00,1
2019-02-08 19:38:00,1
2019-02-08 19:39:00,1
2019-02-08 19:40:00,1
2019-02-08 19:41:00,1
2019-02-08 19:42:00,2
2019-02-08 19:43:00,1
2019-02-08 19:44:00,1
2019-02-08 19:45:00,2
2019-02-08 19:46:00,1
2019-02-08 19:48:00,1
2019-02-08 19:49:00,1
2019-02-08 19:50:00,1
2019-02-08 19:51:00,1
2019-02-08 19:52:00,1
2019-02-08 19:53:00,2
2019-02-08 19:54:00,1
2019-02-08 19:55:00,2
2019-02-08 19:56:00,1
2019-02-08 19:58:00,2
2019-02-08 19:59:00,3
2019-02-08 20:00:00,1
2019-02-08 20:01:00,1
2019-02-08 20:02:00,1
2019-02-08 20:03:00,1
2019-02-08 20:04:00,1
2019-02-08 20:05:00,1
2019-02-08 20:06:00,1
