910,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field, s.z, s.plate, s.mjd, s.fiberID, s.specobjid, s.run2d, s.instrument FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-08-16 06:24:00,17
2019-08-16 06:25:00,21
2019-08-16 06:26:00,21
2019-08-16 06:27:00,21
2019-08-16 06:28:00,23
2019-08-16 06:29:00,21
2019-08-16 06:30:00,21
2019-08-16 06:31:00,17
2019-08-16 06:32:00,19
2019-08-16 06:33:00,18
2019-08-16 06:34:00,17
2019-08-16 06:35:00,18
2019-08-16 06:36:00,18
2019-08-16 06:37:00,15
2019-08-16 06:38:00,17
2019-08-16 06:39:00,15
2019-08-16 06:40:00,15
2019-08-16 06:41:00,18
2019-08-16 06:42:00,19
2019-08-16 06:43:00,14
2019-08-16 06:44:00,16
2019-08-16 06:45:00,16
2019-08-16 06:46:00,41
2019-08-16 06:47:00,181
2019-08-16 06:48:00,204
2019-08-16 06:49:00,84
2019-08-16 09:34:00,2
2019-08-16 18:45:00,1
