66,"SELECT p.objid, p.ra, p.dec, f.fieldid, p.field, p.InsideMask, p.u, p.err_u, p.g, p.err_g, p.r, p.err_r, p.i, p.err_i, p.z, p.err_z, p.type, f.quality, p.specObjID FROM PhotoPrimary AS p JOIN Field AS f ON f.fieldid = p.fieldid WHERE (clean = #) AND ((f.quality = #) OR (f.quality = #)) AND (p.type = dbo.fPhotoType(&&&) OR p.type = dbo.fPhotoType(&&&)) AND (p.ra BETWEEN # AND #) AND p.dec BETWEEN # AND # AND ((p.InsideMask = #) OR (p.InsideMask = #) OR (p.InsideMask = #)) AND (#/p.err_u > #) AND (#/p.err_g > #) AND (#/p.err_r > #) AND (#/p.err_i > #) AND (#/p.err_z > #)"
2019-08-16 19:33:00,5
2019-08-16 19:34:00,15
2019-08-16 19:35:00,16
2019-08-16 19:36:00,10
2019-08-16 19:37:00,4
2019-08-16 19:38:00,2
2019-08-16 19:39:00,2
2019-08-16 19:40:00,1
2019-08-16 19:51:00,2
2019-08-16 19:52:00,2
2019-08-16 19:53:00,4
2019-08-16 19:54:00,2
2019-08-16 19:55:00,1
