5226,"SELECT  top #   p.objID, p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID"
2019-08-16 00:01:00,2
2019-08-16 00:04:00,7
2019-08-16 00:05:00,3
2019-08-16 00:06:00,13
2019-08-16 00:08:00,1
2019-08-16 00:09:00,10
2019-08-16 00:11:00,2
2019-08-16 00:14:00,7
2019-08-16 00:15:00,3
2019-08-16 00:16:00,13
2019-08-16 00:18:00,1
2019-08-16 00:19:00,10
2019-08-16 00:22:00,2
2019-08-16 00:24:00,7
2019-08-16 00:25:00,3
2019-08-16 00:26:00,13
2019-08-16 00:28:00,1
2019-08-16 00:29:00,10
2019-08-16 00:31:00,1
2019-08-16 00:32:00,1
2019-08-16 00:34:00,7
2019-08-16 00:35:00,3
2019-08-16 00:36:00,13
2019-08-16 00:38:00,1
2019-08-16 00:39:00,10
2019-08-16 00:41:00,2
2019-08-16 00:44:00,7
2019-08-16 00:45:00,3
2019-08-16 00:46:00,13
2019-08-16 00:48:00,1
2019-08-16 00:49:00,10
2019-08-16 00:52:00,2
2019-08-16 00:54:00,7
2019-08-16 00:55:00,3
2019-08-16 00:56:00,15
2019-08-16 00:58:00,1
2019-08-16 00:59:00,10
2019-08-16 01:02:00,2
2019-08-16 01:04:00,7
2019-08-16 01:05:00,3
2019-08-16 01:06:00,13
2019-08-16 01:08:00,1
2019-08-16 01:09:00,10
2019-08-16 01:12:00,2
2019-08-16 01:14:00,7
2019-08-16 01:15:00,3
2019-08-16 01:16:00,13
2019-08-16 01:18:00,1
2019-08-16 01:19:00,10
2019-08-16 01:22:00,2
2019-08-16 01:24:00,7
2019-08-16 01:25:00,3
2019-08-16 01:26:00,14
2019-08-16 01:28:00,1
2019-08-16 01:29:00,7
2019-08-16 01:30:00,3
2019-08-16 01:32:00,2
2019-08-16 01:34:00,7
2019-08-16 01:35:00,3
2019-08-16 01:36:00,13
2019-08-16 01:38:00,1
2019-08-16 01:39:00,7
2019-08-16 01:40:00,3
2019-08-16 01:42:00,2
2019-08-16 01:44:00,7
2019-08-16 01:45:00,3
2019-08-16 01:46:00,13
2019-08-16 01:48:00,1
2019-08-16 01:49:00,7
2019-08-16 01:50:00,3
2019-08-16 01:52:00,2
2019-08-16 01:54:00,7
2019-08-16 01:55:00,3
2019-08-16 01:56:00,15
2019-08-16 01:58:00,1
2019-08-16 01:59:00,7
2019-08-16 02:00:00,3
2019-08-16 02:02:00,2
2019-08-16 02:04:00,7
2019-08-16 02:05:00,3
2019-08-16 02:06:00,13
2019-08-16 02:08:00,1
2019-08-16 02:09:00,7
2019-08-16 02:10:00,3
2019-08-16 02:12:00,2
2019-08-16 02:14:00,7
2019-08-16 02:15:00,3
2019-08-16 02:16:00,13
2019-08-16 02:18:00,1
2019-08-16 02:19:00,7
2019-08-16 02:20:00,3
2019-08-16 02:22:00,2
2019-08-16 02:24:00,7
2019-08-16 02:25:00,3
2019-08-16 02:26:00,13
2019-08-16 02:28:00,1
2019-08-16 02:29:00,7
2019-08-16 02:30:00,3
2019-08-16 02:32:00,2
2019-08-16 02:34:00,7
2019-08-16 02:35:00,3
2019-08-16 02:36:00,13
2019-08-16 02:38:00,1
2019-08-16 02:39:00,7
2019-08-16 02:40:00,3
2019-08-16 02:42:00,2
2019-08-16 02:44:00,7
2019-08-16 02:45:00,3
2019-08-16 02:46:00,13
2019-08-16 02:48:00,1
2019-08-16 02:49:00,7
2019-08-16 02:50:00,3
2019-08-16 02:52:00,2
2019-08-16 02:54:00,7
2019-08-16 02:55:00,3
2019-08-16 02:56:00,13
2019-08-16 02:58:00,1
2019-08-16 02:59:00,7
2019-08-16 03:00:00,3
2019-08-16 03:02:00,2
2019-08-16 03:04:00,7
2019-08-16 03:05:00,3
2019-08-16 03:06:00,13
2019-08-16 03:08:00,1
2019-08-16 03:09:00,7
2019-08-16 03:10:00,3
2019-08-16 03:12:00,2
2019-08-16 03:14:00,7
2019-08-16 03:15:00,3
2019-08-16 03:16:00,13
2019-08-16 03:18:00,1
2019-08-16 03:19:00,7
2019-08-16 03:20:00,3
2019-08-16 03:22:00,2
2019-08-16 03:24:00,7
2019-08-16 03:25:00,3
2019-08-16 03:26:00,13
2019-08-16 03:28:00,1
2019-08-16 03:29:00,7
2019-08-16 03:30:00,3
2019-08-16 03:32:00,2
2019-08-16 03:34:00,7
2019-08-16 03:35:00,3
2019-08-16 03:36:00,13
2019-08-16 03:38:00,1
2019-08-16 03:39:00,7
2019-08-16 03:40:00,3
2019-08-16 03:42:00,2
2019-08-16 03:44:00,7
2019-08-16 03:45:00,3
2019-08-16 03:46:00,13
2019-08-16 03:48:00,1
2019-08-16 03:49:00,7
2019-08-16 03:50:00,3
2019-08-16 03:52:00,2
2019-08-16 03:54:00,7
2019-08-16 03:55:00,3
2019-08-16 03:56:00,13
2019-08-16 03:58:00,1
2019-08-16 03:59:00,7
2019-08-16 04:00:00,3
2019-08-16 04:02:00,2
2019-08-16 04:04:00,7
2019-08-16 04:05:00,3
2019-08-16 04:06:00,13
2019-08-16 04:08:00,1
2019-08-16 04:09:00,6
2019-08-16 04:10:00,4
2019-08-16 04:12:00,2
2019-08-16 04:14:00,7
2019-08-16 04:15:00,3
2019-08-16 04:16:00,13
2019-08-16 04:18:00,1
2019-08-16 04:19:00,7
2019-08-16 04:20:00,3
2019-08-16 04:22:00,2
2019-08-16 04:24:00,7
2019-08-16 04:25:00,3
2019-08-16 04:26:00,13
2019-08-16 04:28:00,1
2019-08-16 04:29:00,7
2019-08-16 04:30:00,3
2019-08-16 04:32:00,2
2019-08-16 04:34:00,7
2019-08-16 04:35:00,3
2019-08-16 04:36:00,13
2019-08-16 04:38:00,1
2019-08-16 04:39:00,6
2019-08-16 04:40:00,4
2019-08-16 04:42:00,2
2019-08-16 04:44:00,7
2019-08-16 04:45:00,3
2019-08-16 04:46:00,15
2019-08-16 04:48:00,1
2019-08-16 04:49:00,5
2019-08-16 04:50:00,5
2019-08-16 04:52:00,2
2019-08-16 04:54:00,7
2019-08-16 04:55:00,3
2019-08-16 04:56:00,13
2019-08-16 04:58:00,1
2019-08-16 04:59:00,5
2019-08-16 05:00:00,5
2019-08-16 05:02:00,2
2019-08-16 05:04:00,7
2019-08-16 05:05:00,3
2019-08-16 05:06:00,14
2019-08-16 05:08:00,1
2019-08-16 05:09:00,5
2019-08-16 05:10:00,5
2019-08-16 05:12:00,2
2019-08-16 05:14:00,7
2019-08-16 05:15:00,3
2019-08-16 05:16:00,14
2019-08-16 05:18:00,1
2019-08-16 05:19:00,5
2019-08-16 05:20:00,5
2019-08-16 05:22:00,2
2019-08-16 05:24:00,7
2019-08-16 05:25:00,3
2019-08-16 05:26:00,13
2019-08-16 05:28:00,1
2019-08-16 05:29:00,5
2019-08-16 05:30:00,5
2019-08-16 05:32:00,2
2019-08-16 05:34:00,7
2019-08-16 05:35:00,3
2019-08-16 05:36:00,13
2019-08-16 05:38:00,1
2019-08-16 05:39:00,5
2019-08-16 05:40:00,5
2019-08-16 05:42:00,2
2019-08-16 05:44:00,7
2019-08-16 05:45:00,3
2019-08-16 05:46:00,14
2019-08-16 05:48:00,1
2019-08-16 05:49:00,5
2019-08-16 05:50:00,5
2019-08-16 05:52:00,2
2019-08-16 05:54:00,7
2019-08-16 05:55:00,3
2019-08-16 05:56:00,14
2019-08-16 05:58:00,1
2019-08-16 05:59:00,5
2019-08-16 06:00:00,5
2019-08-16 06:02:00,2
2019-08-16 06:04:00,7
2019-08-16 06:05:00,3
2019-08-16 06:06:00,13
2019-08-16 06:08:00,1
2019-08-16 06:09:00,5
2019-08-16 06:10:00,5
2019-08-16 06:12:00,2
2019-08-16 06:14:00,7
2019-08-16 06:15:00,3
2019-08-16 06:16:00,13
2019-08-16 06:18:00,1
2019-08-16 06:19:00,4
2019-08-16 06:20:00,6
2019-08-16 06:22:00,2
2019-08-16 06:24:00,7
2019-08-16 06:25:00,3
2019-08-16 06:26:00,13
2019-08-16 06:28:00,1
2019-08-16 06:29:00,4
