11,"SELECT TOP #  p.ra,p.dec FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.ra BETWEEN # and # AND  p.dec BETWEEN # and # AND  s.class=&&& AND  PetroRad_r>#"
2019-08-16 04:01:00,2
2019-08-16 04:02:00,1
2019-08-16 04:06:00,1
2019-08-16 04:07:00,2
2019-08-16 04:09:00,1
2019-08-16 04:10:00,1
2019-08-16 04:12:00,2
2019-08-16 04:14:00,1
