282,"select p.run, p.camcol, p.field from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-08-16 00:13:00,2
2019-08-16 00:14:00,1
2019-08-16 00:16:00,1
2019-08-16 01:53:00,2
2019-08-16 01:54:00,1
2019-08-16 01:56:00,1
2019-08-16 02:13:00,3
2019-08-16 02:16:00,1
2019-08-16 02:32:00,3
2019-08-16 02:35:00,1
2019-08-16 02:51:00,1
2019-08-16 02:52:00,2
2019-08-16 02:54:00,1
2019-08-16 03:11:00,3
2019-08-16 03:14:00,1
2019-08-16 03:37:00,3
2019-08-16 03:38:00,1
2019-08-16 03:44:00,1
2019-08-16 03:45:00,2
2019-08-16 03:46:00,1
2019-08-16 03:51:00,2
2019-08-16 03:52:00,1
2019-08-16 03:53:00,1
2019-08-16 03:58:00,1
2019-08-16 03:59:00,2
2019-08-16 04:01:00,1
2019-08-16 04:06:00,3
2019-08-16 04:08:00,1
2019-08-16 04:23:00,8
2019-08-16 04:25:00,4
2019-08-16 04:28:00,2
2019-08-16 04:48:00,10
2019-08-16 04:50:00,2
2019-08-16 04:52:00,2
2019-08-16 05:18:00,9
2019-08-16 05:20:00,5
2019-08-16 05:48:00,2
2019-08-16 05:49:00,6
2019-08-16 05:51:00,2
2019-08-16 05:52:00,2
2019-08-16 05:53:00,2
2019-08-16 06:12:00,4
2019-08-16 06:13:00,4
2019-08-16 06:16:00,3
2019-08-16 06:19:00,2
2019-08-16 06:34:00,2
2019-08-16 06:35:00,2
2019-08-16 06:36:00,2
2019-08-16 06:38:00,4
2019-08-16 06:41:00,2
2019-08-16 06:55:00,6
2019-08-16 06:57:00,2
2019-08-16 06:58:00,2
2019-08-16 06:59:00,2
2019-08-16 07:01:00,2
2019-08-16 07:16:00,4
2019-08-16 07:17:00,6
2019-08-16 07:18:00,3
2019-08-16 07:20:00,3
2019-08-16 07:22:00,2
2019-08-16 08:54:00,4
2019-08-16 08:55:00,5
2019-08-16 08:56:00,1
2019-08-16 08:57:00,2
2019-08-16 09:00:00,2
2019-08-16 09:20:00,8
2019-08-16 09:22:00,2
2019-08-16 09:23:00,1
2019-08-16 09:24:00,2
2019-08-16 09:45:00,2
2019-08-16 09:46:00,4
2019-08-16 09:47:00,2
2019-08-16 09:48:00,2
2019-08-16 09:49:00,1
2019-08-16 09:52:00,2
2019-08-16 10:05:00,2
2019-08-16 10:06:00,8
2019-08-16 10:07:00,3
2019-08-16 10:08:00,1
2019-08-16 10:09:00,1
2019-08-16 10:10:00,1
2019-08-16 10:11:00,2
2019-08-16 10:13:00,3
2019-08-16 10:17:00,2
2019-08-16 10:18:00,2
2019-08-16 10:20:00,1
2019-08-16 10:56:00,2
2019-08-16 14:05:00,2
2019-08-16 14:06:00,2
2019-08-16 14:07:00,2
2019-08-16 14:08:00,2
2019-08-16 14:09:00,3
2019-08-16 14:10:00,4
2019-08-16 14:11:00,2
2019-08-16 14:12:00,4
2019-08-16 14:13:00,2
2019-08-16 14:14:00,1
2019-08-16 14:15:00,3
2019-08-16 14:16:00,1
2019-08-16 14:17:00,2
2019-08-16 14:18:00,3
2019-08-16 14:19:00,2
2019-08-16 14:21:00,4
2019-08-16 14:23:00,2
2019-08-16 14:25:00,1
2019-08-16 14:26:00,2
2019-08-16 14:28:00,1
2019-08-16 14:39:00,2
2019-08-16 14:45:00,2
2019-08-16 14:49:00,2
2019-08-16 14:51:00,2
2019-08-16 14:55:00,2
2019-08-16 15:01:00,2
