53,select distinct parent from DBViewCols where viewname=&&&
2019-12-17 00:06:00,4
2019-12-17 01:13:00,1
2019-12-17 02:44:00,1
2019-12-17 04:07:00,9
2019-12-17 04:08:00,1
2019-12-17 05:02:00,2
2019-12-17 06:12:00,1
2019-12-17 06:32:00,1
2019-12-17 06:33:00,1
2019-12-17 06:36:00,3
2019-12-17 06:40:00,1
2019-12-17 06:46:00,1
2019-12-17 07:05:00,1
2019-12-17 07:06:00,1
2019-12-17 07:15:00,1
2019-12-17 07:18:00,1
2019-12-17 07:47:00,1
2019-12-17 08:05:00,1
2019-12-17 08:39:00,1
2019-12-17 08:44:00,1
2019-12-17 13:13:00,1
2019-12-17 15:07:00,3
2019-12-17 15:19:00,1
2019-12-17 15:38:00,1
2019-12-17 15:39:00,1
2019-12-17 15:44:00,1
2019-12-17 16:09:00,2
2019-12-17 17:49:00,2
2019-12-17 17:56:00,2
2019-12-17 20:18:00,3
2019-12-17 20:19:00,1
2019-12-17 22:35:00,1
