3077,"SELECT p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, modelFlux_u, modelFlux_g, modelFlux_r, modelFlux_i, modelFlux_z, modelFluxIVar_u, modelFluxIVar_g, modelFluxIVar_r, modelFluxIVar_i, modelFluxIVar_z FROM PhotoObj p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-12-17 00:02:00,10
2019-12-17 00:04:00,10
2019-12-17 00:06:00,4
2019-12-17 00:07:00,5
2019-12-17 00:09:00,10
2019-12-17 00:11:00,4
2019-12-17 00:12:00,1
2019-12-17 00:13:00,4
2019-12-17 00:16:00,1
2019-12-17 00:17:00,9
2019-12-17 00:19:00,9
2019-12-17 00:22:00,10
2019-12-17 00:23:00,3
2019-12-17 00:26:00,10
2019-12-17 00:28:00,10
2019-12-17 00:31:00,10
2019-12-17 00:34:00,10
2019-12-17 00:37:00,10
2019-12-17 00:40:00,3
2019-12-17 00:44:00,10
2019-12-17 00:47:00,10
2019-12-17 00:50:00,10
2019-12-17 00:52:00,2
2019-12-17 00:53:00,8
2019-12-17 00:54:00,6
2019-12-17 00:55:00,3
2019-12-17 00:58:00,7
2019-12-17 01:00:00,10
2019-12-17 01:03:00,10
2019-12-17 01:05:00,10
2019-12-17 01:07:00,10
2019-12-17 01:10:00,3
2019-12-17 01:11:00,7
2019-12-17 01:13:00,6
2019-12-17 01:14:00,4
2019-12-17 01:16:00,10
2019-12-17 01:18:00,2
2019-12-17 01:19:00,8
2019-12-17 01:20:00,2
2019-12-17 01:22:00,10
2019-12-17 01:24:00,5
2019-12-17 01:25:00,5
2019-12-17 01:27:00,10
2019-12-17 01:29:00,5
2019-12-17 01:30:00,5
2019-12-17 01:32:00,10
2019-12-17 01:35:00,10
2019-12-17 01:39:00,10
2019-12-17 01:42:00,10
2019-12-17 01:45:00,10
2019-12-17 01:48:00,10
2019-12-17 01:50:00,4
2019-12-17 01:51:00,6
2019-12-17 01:53:00,10
2019-12-17 01:55:00,3
2019-12-17 01:56:00,7
2019-12-17 01:57:00,6
2019-12-17 01:59:00,6
2019-12-17 02:01:00,7
2019-12-17 02:02:00,3
2019-12-17 02:04:00,10
2019-12-17 02:05:00,1
2019-12-17 02:08:00,5
2019-12-17 02:09:00,7
2019-12-17 02:12:00,10
2019-12-17 02:15:00,8
2019-12-17 02:16:00,2
2019-12-17 02:18:00,6
2019-12-17 02:19:00,4
2019-12-17 02:23:00,2
2019-12-17 02:24:00,8
2019-12-17 02:26:00,6
2019-12-17 02:28:00,10
2019-12-17 02:31:00,10
2019-12-17 02:34:00,10
2019-12-17 02:38:00,10
2019-12-17 02:40:00,10
2019-12-17 02:43:00,10
2019-12-17 02:45:00,10
2019-12-17 02:47:00,10
2019-12-17 02:50:00,10
2019-12-17 02:52:00,1
2019-12-17 02:54:00,7
2019-12-17 02:57:00,10
2019-12-17 02:59:00,8
2019-12-17 03:00:00,2
2019-12-17 03:02:00,10
2019-12-17 03:04:00,10
2019-12-17 03:07:00,8
2019-12-17 03:09:00,2
2019-12-17 03:10:00,8
2019-12-17 03:12:00,10
2019-12-17 03:15:00,8
2019-12-17 03:17:00,6
2019-12-17 03:20:00,10
2019-12-17 03:23:00,10
2019-12-17 03:27:00,10
2019-12-17 03:30:00,10
2019-12-17 03:33:00,10
2019-12-17 03:37:00,10
2019-12-17 03:39:00,9
2019-12-17 03:41:00,9
2019-12-17 03:42:00,1
2019-12-17 03:45:00,10
2019-12-17 03:47:00,10
2019-12-17 03:49:00,8
2019-12-17 03:50:00,2
2019-12-17 03:52:00,10
2019-12-17 03:55:00,10
2019-12-17 03:57:00,8
2019-12-17 03:58:00,2
2019-12-17 04:01:00,10
2019-12-17 04:03:00,10
2019-12-17 04:05:00,10
2019-12-17 04:08:00,10
2019-12-17 04:11:00,10
2019-12-17 04:13:00,10
2019-12-17 04:15:00,5
2019-12-17 04:17:00,5
2019-12-17 04:18:00,5
2019-12-17 04:20:00,10
2019-12-17 04:23:00,10
2019-12-17 04:25:00,10
2019-12-17 04:28:00,10
2019-12-17 04:30:00,10
2019-12-17 04:32:00,10
2019-12-17 04:34:00,5
2019-12-17 04:36:00,10
2019-12-17 04:38:00,10
2019-12-17 04:41:00,10
2019-12-17 04:44:00,10
2019-12-17 04:47:00,10
2019-12-17 04:49:00,10
2019-12-17 04:51:00,9
2019-12-17 04:53:00,10
2019-12-17 04:56:00,10
2019-12-17 04:59:00,10
2019-12-17 05:03:00,10
2019-12-17 05:06:00,10
2019-12-17 05:08:00,10
2019-12-17 05:10:00,10
2019-12-17 05:12:00,10
2019-12-17 05:15:00,10
2019-12-17 05:17:00,10
2019-12-17 05:20:00,10
2019-12-17 05:22:00,2
2019-12-17 05:23:00,8
2019-12-17 05:25:00,9
2019-12-17 05:27:00,3
2019-12-17 05:29:00,7
2019-12-17 05:30:00,3
2019-12-17 05:32:00,10
2019-12-17 05:34:00,8
2019-12-17 05:37:00,10
2019-12-17 05:39:00,8
2019-12-17 05:41:00,10
2019-12-17 05:44:00,7
2019-12-17 05:45:00,3
2019-12-17 05:47:00,2
2019-12-17 05:48:00,8
2019-12-17 05:50:00,10
2019-12-17 05:52:00,1
2019-12-17 05:53:00,9
2019-12-17 05:55:00,4
2019-12-17 05:56:00,6
2019-12-17 05:58:00,7
2019-12-17 06:01:00,10
2019-12-17 06:04:00,10
2019-12-17 06:07:00,10
2019-12-17 06:09:00,10
2019-12-17 06:12:00,10
2019-12-17 06:14:00,9
2019-12-17 06:15:00,1
2019-12-17 06:17:00,10
2019-12-17 06:20:00,10
2019-12-17 06:22:00,10
2019-12-17 06:23:00,4
2019-12-17 06:24:00,6
2019-12-17 06:27:00,10
2019-12-17 06:30:00,10
2019-12-17 06:32:00,10
2019-12-17 06:34:00,8
2019-12-17 06:35:00,2
2019-12-17 06:37:00,10
2019-12-17 06:38:00,2
2019-12-17 06:40:00,8
2019-12-17 06:42:00,9
2019-12-17 06:43:00,1
2019-12-17 06:45:00,8
2019-12-17 06:47:00,10
2019-12-17 06:50:00,8
2019-12-17 06:52:00,10
2019-12-17 06:55:00,10
2019-12-17 06:58:00,10
2019-12-17 06:59:00,1
2019-12-17 07:01:00,10
2019-12-17 07:03:00,10
2019-12-17 07:05:00,10
2019-12-17 07:07:00,10
2019-12-17 07:09:00,6
2019-12-17 07:11:00,7
2019-12-17 07:14:00,10
2019-12-17 07:15:00,4
2019-12-17 07:16:00,1
2019-12-17 07:17:00,2
2019-12-17 07:18:00,8
2019-12-17 07:19:00,10
2019-12-17 07:21:00,10
2019-12-17 07:24:00,10
2019-12-17 07:26:00,10
2019-12-17 07:28:00,10
2019-12-17 07:29:00,1
2019-12-17 07:30:00,3
2019-12-17 07:32:00,9
2019-12-17 07:34:00,5
2019-12-17 07:36:00,10
2019-12-17 07:39:00,10
2019-12-17 07:41:00,10
