3,"SELECT my.tmid,my.ra,my.dec,p.ra,p.dec,p.modelMag_u,p.modelMag_g,p.modelMag_r,p.modelMag_i,p.modelMag_z into mydb.MyTable1 FROM mydb.MyTable as my, PhotoObj as p WHERE my.bestobjid=p.objid"
2019-12-17 03:16:00,2
2019-12-17 03:17:00,1
