310,"select p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z FROM PhotoPrimary AS p WHERE type=# AND ((flags_r & #) != #)AND ((flags_r & #) = #)AND (((flags_r & #) = #) or (psfmagerr_g <= #))AND (((flags_r & #) = #) or (flags_r & #) = #)AND p.ra BETWEEN (#-#) AND (#+#) AND p.dec BETWEEN (#-#) AND (#+#) ORDER BY p.objid"
2019-12-17 17:06:00,1
2019-12-17 17:54:00,1
2019-12-17 18:00:00,1
2019-12-17 18:02:00,1
2019-12-17 18:04:00,1
2019-12-17 18:06:00,1
2019-12-17 18:07:00,1
2019-12-17 18:08:00,1
2019-12-17 18:10:00,1
2019-12-17 18:12:00,1
2019-12-17 22:31:00,1
2019-12-17 22:32:00,1
2019-12-17 22:36:00,1
2019-12-17 22:41:00,1
2019-12-17 22:44:00,1
2019-12-17 22:50:00,11
2019-12-17 22:51:00,8
2019-12-17 22:52:00,13
2019-12-17 22:53:00,8
2019-12-17 22:54:00,7
2019-12-17 22:55:00,58
2019-12-17 22:56:00,35
2019-12-17 22:57:00,42
2019-12-17 22:58:00,34
2019-12-17 22:59:00,43
2019-12-17 23:00:00,16
2019-12-17 23:01:00,11
2019-12-17 23:02:00,8
2019-12-17 23:03:00,1
