2,"select top # objid, ra, dec  u, g, r, i, z, err_u, err_g, err_r, err_i, err_z, petror9#_r  into mydb.hugetable from galaxy where clean = #"
2019-12-17 07:57:00,1
2019-12-17 08:00:00,1
