4,"select p.objid as name, p.ra, p.dec from galaxy p, specobj s where p.objid=s.bestobjid and (p.u BETWEEN # AND #) and s.z BETWEEN # AND #"
2019-04-30 22:46:00,1
2019-04-30 23:08:00,1
2019-04-30 23:09:00,2
