126,"SELECT aa_i,kk_i,airmass_i,gain_i,sky_i,skysig_i FROM Field where run=# AND rerun=# AND camcol=# AND field=#"
2019-04-30 17:16:00,5
2019-04-30 17:17:00,6
2019-04-30 17:18:00,6
2019-04-30 17:19:00,7
2019-04-30 17:20:00,6
2019-04-30 17:21:00,6
2019-04-30 19:55:00,2
2019-04-30 19:56:00,6
2019-04-30 19:57:00,6
2019-04-30 19:58:00,7
2019-04-30 19:59:00,6
2019-04-30 20:00:00,5
2019-04-30 20:01:00,6
2019-04-30 20:02:00,2
2019-04-30 21:08:00,1
2019-04-30 21:13:00,2
2019-04-30 21:15:00,1
2019-04-30 21:17:00,2
2019-04-30 21:18:00,3
2019-04-30 21:19:00,7
2019-04-30 21:20:00,3
2019-04-30 21:21:00,6
2019-04-30 21:22:00,2
2019-04-30 21:26:00,1
2019-04-30 21:34:00,3
2019-04-30 21:35:00,5
2019-04-30 21:36:00,6
2019-04-30 21:37:00,5
2019-04-30 21:46:00,3
